,Unnamed: 0,MOF,U_He (mol/kg),D_He (cm2/s),U_He_binary,D_He_binary,mofkey,mofid,formula_primitive,zeopp_string_noname,zeopp_string_witmofkey,zeopp_string_witmofid,zeopp_string_withpriformula,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,TDU,DU,MP,O-to-M,U_He (mol/kg),D_He (cm2/s),Uptake_bool,Diffusion_bool,A,AB,ABC,ABCD,B
0,0.0,ADASIJ_clean,0.0527685482,0.002328422899032,1.0,1.0,Cu.SOMOSKNBLUQRSL.MOFkey-v1.ERROR,"[Cu][Cu].[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-] MOFid-v1.ERROR,ntt.cat0;ADASIJ_clean",Cu24 H144 C264 O120,a MOF with a LCD (Å) of 18.23438; a LCD/PLD of 2.7626843872344; a PLD (Å) of 6.60024; a density (g/cm3) of 0.629251; a Pore Volume (cm3/g) of 1.21573; a Porosity of 0.76499931823; a Surface Area (m2/g) of 3491.36,Cu.SOMOSKNBLUQRSL.MOFkey-v1.ERROR with a LCD (Å) of 18.23438; a LCD/PLD of 2.7626843872344; a PLD (Å) of 6.60024; a density (g/cm3) of 0.629251; a Pore Volume (cm3/g) of 1.21573; a Porosity of 0.76499931823; a Surface Area (m2/g) of 3491.36,"[Cu][Cu].[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-] MOFid-v1.ERROR,ntt.cat0;ADASIJ_clean with a LCD (Å) of 18.23438; a LCD/PLD of 2.7626843872344; a PLD (Å) of 6.60024; a density (g/cm3) of 0.629251; a Pore Volume (cm3/g) of 1.21573; a Porosity of 0.76499931823; a Surface Area (m2/g) of 3491.36",Cu24 H144 C264 O120 with a LCD (Å) of 18.23438; a LCD/PLD of 2.7626843872344; a PLD (Å) of 6.60024; a density (g/cm3) of 0.629251; a Pore Volume (cm3/g) of 1.21573; a Porosity of 0.76499931823; a Surface Area (m2/g) of 3491.36,0,0,0,0,ADARAA_clean,12.29205,2.27598101752158,5.40077,0.881935,0.787813,0.694799858155,2485.27,54.5454545454545,22.7272727272727,10.2272727272727,4.54545454545455,4.54545454545455,0.0,0.0,3.40909090909091,913.0,0.792534722222222,6.25,6.0,0.0315518574,0.0018917554402719,0,1,"[12.29205, 5.40077, 2.27598101752158]","[12.29205, 5.40077, 2.27598101752158, 0.881935, 0.787813, 0.694799858155, 2485.27]","[12.29205, 5.40077, 2.27598101752158, 0.881935, 0.787813, 0.694799858155, 2485.27, 54.5454545454545, 22.7272727272727, 10.2272727272727, 4.54545454545455, 4.54545454545455, 0.0, 0.0, 3.40909090909091]","[12.29205, 5.40077, 2.27598101752158, 0.881935, 0.787813, 0.694799858155, 2485.27, 54.5454545454545, 22.7272727272727, 10.2272727272727, 4.54545454545455, 4.54545454545455, 0.0, 0.0, 3.40909090909091, 913.0, 0.792534722222222, 6.0, 6.25]","[0.881935, 0.787813, 0.694799858155, 2485.27]"
1,1.0,ADASOP_clean,0.052480703,0.0019334254150981,1.0,1.0,Zn.SOMOSKNBLUQRSL.MOFkey-v1.ERROR,"[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,ntt.cat0;ADASOP_clean",Zn24 H144 C264 O120,a MOF with a LCD (Å) of 18.07263; a LCD/PLD of 2.69199935651661; a PLD (Å) of 6.71346; a density (g/cm3) of 0.63164; a Pore Volume (cm3/g) of 1.24216; a Porosity of 0.7845979424; a Surface Area (m2/g) of 3519.51,Zn.SOMOSKNBLUQRSL.MOFkey-v1.ERROR with a LCD (Å) of 18.07263; a LCD/PLD of 2.69199935651661; a PLD (Å) of 6.71346; a density (g/cm3) of 0.63164; a Pore Volume (cm3/g) of 1.24216; a Porosity of 0.7845979424; a Surface Area (m2/g) of 3519.51,"[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,ntt.cat0;ADASOP_clean with a LCD (Å) of 18.07263; a LCD/PLD of 2.69199935651661; a PLD (Å) of 6.71346; a density (g/cm3) of 0.63164; a Pore Volume (cm3/g) of 1.24216; a Porosity of 0.7845979424; a Surface Area (m2/g) of 3519.51",Zn24 H144 C264 O120 with a LCD (Å) of 18.07263; a LCD/PLD of 2.69199935651661; a PLD (Å) of 6.71346; a density (g/cm3) of 0.63164; a Pore Volume (cm3/g) of 1.24216; a Porosity of 0.7845979424; a Surface Area (m2/g) of 3519.51,1,1,1,1,ADASIJ_clean,18.23438,2.7626843872344,6.60024,0.629251,1.21573,0.76499931823,3491.36,47.8260869565217,26.0869565217391,21.7391304347826,0.0,0.0,0.0,0.0,4.34782608695652,193.0,0.731060606060606,9.09090909090909,10.0,0.0527685482,0.002328422899032,1,1,"[18.23438, 6.60024, 2.7626843872344]","[18.23438, 6.60024, 2.7626843872344, 0.629251, 1.21573, 0.76499931823, 3491.36]","[18.23438, 6.60024, 2.7626843872344, 0.629251, 1.21573, 0.76499931823, 3491.36, 47.8260869565217, 26.0869565217391, 21.7391304347826, 0.0, 0.0, 0.0, 0.0, 4.34782608695652]","[18.23438, 6.60024, 2.7626843872344, 0.629251, 1.21573, 0.76499931823, 3491.36, 47.8260869565217, 26.0869565217391, 21.7391304347826, 0.0, 0.0, 0.0, 0.0, 4.34782608695652, 193.0, 0.731060606060606, 10.0, 9.09090909090909]","[0.629251, 1.21573, 0.76499931823, 3491.36]"
2,2.0,ADASUV_clean,0.0515634584,0.0013958510811891,1.0,0.0,Co.SOMOSKNBLUQRSL.MOFkey-v1.ERROR,"[Co][Co].[Co][Co]1OO1.[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-] MOFid-v1.ERROR,ntt.cat0;ADASUV_clean",Co24 H144 C264 O128,a MOF with a LCD (Å) of 17.16775; a LCD/PLD of 2.54971633101646; a PLD (Å) of 6.7332; a density (g/cm3) of 0.625693; a Pore Volume (cm3/g) of 1.22616; a Porosity of 0.76719972888; a Surface Area (m2/g) of 3636.01,Co.SOMOSKNBLUQRSL.MOFkey-v1.ERROR with a LCD (Å) of 17.16775; a LCD/PLD of 2.54971633101646; a PLD (Å) of 6.7332; a density (g/cm3) of 0.625693; a Pore Volume (cm3/g) of 1.22616; a Porosity of 0.76719972888; a Surface Area (m2/g) of 3636.01,"[Co][Co].[Co][Co]1OO1.[O-]C(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-] MOFid-v1.ERROR,ntt.cat0;ADASUV_clean with a LCD (Å) of 17.16775; a LCD/PLD of 2.54971633101646; a PLD (Å) of 6.7332; a density (g/cm3) of 0.625693; a Pore Volume (cm3/g) of 1.22616; a Porosity of 0.76719972888; a Surface Area (m2/g) of 3636.01",Co24 H144 C264 O128 with a LCD (Å) of 17.16775; a LCD/PLD of 2.54971633101646; a PLD (Å) of 6.7332; a density (g/cm3) of 0.625693; a Pore Volume (cm3/g) of 1.22616; a Porosity of 0.76719972888; a Surface Area (m2/g) of 3636.01,2,2,2,2,ADASOP_clean,18.07263,2.69199935651661,6.71346,0.63164,1.24216,0.7845979424,3519.51,47.8260869565217,26.0869565217391,21.7391304347826,0.0,0.0,0.0,0.0,4.34782608695652,193.0,0.731060606060606,9.09090909090909,10.0,0.052480703,0.0019334254150981,1,1,"[18.07263, 6.71346, 2.69199935651661]","[18.07263, 6.71346, 2.69199935651661, 0.63164, 1.24216, 0.7845979424, 3519.51]","[18.07263, 6.71346, 2.69199935651661, 0.63164, 1.24216, 0.7845979424, 3519.51, 47.8260869565217, 26.0869565217391, 21.7391304347826, 0.0, 0.0, 0.0, 0.0, 4.34782608695652]","[18.07263, 6.71346, 2.69199935651661, 0.63164, 1.24216, 0.7845979424, 3519.51, 47.8260869565217, 26.0869565217391, 21.7391304347826, 0.0, 0.0, 0.0, 0.0, 4.34782608695652, 193.0, 0.731060606060606, 10.0, 9.09090909090909]","[0.63164, 1.24216, 0.7845979424, 3519.51]"
3,3.0,ADATAC_clean,0.1073261911,0.0027177308756507,1.0,1.0,Zn.FKLTVTPGRWBNJU.MOFkey-v1.ERROR,"[O-]C(=O)c1cc(N=Nc2ccc(cc2)OCc2cc(COc3ccc(cc3)N=Nc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2ccc(cc2)N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,ntt.cat0;ADATAC_clean",Zn24 H240 C408 N48 O120,a MOF with a LCD (Å) of 26.33515; a LCD/PLD of 2.56268993817856; a PLD (Å) of 10.27637; a density (g/cm3) of 0.33727; a Pore Volume (cm3/g) of 2.5825; a Porosity of 0.870999775; a Surface Area (m2/g) of 5129.28,Zn.FKLTVTPGRWBNJU.MOFkey-v1.ERROR with a LCD (Å) of 26.33515; a LCD/PLD of 2.56268993817856; a PLD (Å) of 10.27637; a density (g/cm3) of 0.33727; a Pore Volume (cm3/g) of 2.5825; a Porosity of 0.870999775; a Surface Area (m2/g) of 5129.28,"[O-]C(=O)c1cc(N=Nc2ccc(cc2)OCc2cc(COc3ccc(cc3)N=Nc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)COc2ccc(cc2)N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,ntt.cat0;ADATAC_clean with a LCD (Å) of 26.33515; a LCD/PLD of 2.56268993817856; a PLD (Å) of 10.27637; a density (g/cm3) of 0.33727; a Pore Volume (cm3/g) of 2.5825; a Porosity of 0.870999775; a Surface Area (m2/g) of 5129.28",Zn24 H240 C408 N48 O120 with a LCD (Å) of 26.33515; a LCD/PLD of 2.56268993817856; a PLD (Å) of 10.27637; a density (g/cm3) of 0.33727; a Pore Volume (cm3/g) of 2.5825; a Porosity of 0.870999775; a Surface Area (m2/g) of 5129.28,3,3,3,3,ADASUV_clean,17.16775,2.54971633101646,6.7332,0.625693,1.22616,0.76719972888,3636.01,47.1428571428571,25.7142857142857,22.8571428571429,0.0,0.0,0.0,0.0,4.28571428571429,193.0,0.731060606060606,9.09090909090909,10.6666666666667,0.0515634584,0.0013958510811891,1,1,"[17.16775, 6.7332, 2.54971633101646]","[17.16775, 6.7332, 2.54971633101646, 0.625693, 1.22616, 0.76719972888, 3636.01]","[17.16775, 6.7332, 2.54971633101646, 0.625693, 1.22616, 0.76719972888, 3636.01, 47.1428571428571, 25.7142857142857, 22.8571428571429, 0.0, 0.0, 0.0, 0.0, 4.28571428571429]","[17.16775, 6.7332, 2.54971633101646, 0.625693, 1.22616, 0.76719972888, 3636.01, 47.1428571428571, 25.7142857142857, 22.8571428571429, 0.0, 0.0, 0.0, 0.0, 4.28571428571429, 193.0, 0.731060606060606, 10.6666666666667, 9.09090909090909]","[0.625693, 1.22616, 0.76719972888, 3636.01]"
4,4.0,ADATEG_manual,0.154555269,0.0039981646853543,1.0,1.0,Cu.NIOIFYLCZGEJRJ.MOFkey-v1.ERROR,"[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1cc(C#Cc2ccc(cc2)N(c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])cc(c1)c1ccc(cc1)C(=O)[O-] MOFid-v1.ERROR,ntt.cat0;ADATEG_manual",Cu24 H360 C672 N8 O96,a MOF with a LCD (Å) of 27.33782; a LCD/PLD of 2.04945933140616; a PLD (Å) of 13.33904; a density (g/cm3) of 0.238777; a Pore Volume (cm3/g) of 3.75246; a Porosity of 0.89600114142; a Surface Area (m2/g) of 6170.7,Cu.NIOIFYLCZGEJRJ.MOFkey-v1.ERROR with a LCD (Å) of 27.33782; a LCD/PLD of 2.04945933140616; a PLD (Å) of 13.33904; a density (g/cm3) of 0.238777; a Pore Volume (cm3/g) of 3.75246; a Porosity of 0.89600114142; a Surface Area (m2/g) of 6170.7,"[Cu][Cu].[O-]C(=O)c1ccc(cc1)c1cc(C#Cc2ccc(cc2)N(c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C#Cc2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])cc(c1)c1ccc(cc1)C(=O)[O-] MOFid-v1.ERROR,ntt.cat0;ADATEG_manual with a LCD (Å) of 27.33782; a LCD/PLD of 2.04945933140616; a PLD (Å) of 13.33904; a density (g/cm3) of 0.238777; a Pore Volume (cm3/g) of 3.75246; a Porosity of 0.89600114142; a Surface Area (m2/g) of 6170.7",Cu24 H360 C672 N8 O96 with a LCD (Å) of 27.33782; a LCD/PLD of 2.04945933140616; a PLD (Å) of 13.33904; a density (g/cm3) of 0.238777; a Pore Volume (cm3/g) of 3.75246; a Porosity of 0.89600114142; a Surface Area (m2/g) of 6170.7,4,4,4,4,ADATAC_clean,26.33515,2.56268993817856,10.27637,0.33727,2.5825,0.870999775,5129.28,48.5714285714286,28.5714285714286,14.2857142857143,5.71428571428571,0.0,0.0,0.0,2.85714285714286,289.0,0.708333333333333,5.88235294117647,10.0,0.1073261911,0.0027177308756507,1,1,"[26.33515, 10.27637, 2.56268993817856]","[26.33515, 10.27637, 2.56268993817856, 0.33727, 2.5825, 0.870999775, 5129.28]","[26.33515, 10.27637, 2.56268993817856, 0.33727, 2.5825, 0.870999775, 5129.28, 48.5714285714286, 28.5714285714286, 14.2857142857143, 5.71428571428571, 0.0, 0.0, 0.0, 2.85714285714286]","[26.33515, 10.27637, 2.56268993817856, 0.33727, 2.5825, 0.870999775, 5129.28, 48.5714285714286, 28.5714285714286, 14.2857142857143, 5.71428571428571, 0.0, 0.0, 0.0, 2.85714285714286, 289.0, 0.708333333333333, 10.0, 5.88235294117647]","[0.33727, 2.5825, 0.870999775, 5129.28]"
5,5.0,ADATOQ_clean,0.04657916,0.001710606140754,1.0,1.0,,* MOFid-v1.NA.NA;ADATOQ_clean,Ag6 H144 C156 N40,a MOF with a LCD (Å) of 10.5421; a LCD/PLD of 1.16152184140562; a PLD (Å) of 9.07611; a density (g/cm3) of 0.632077; a Pore Volume (cm3/g) of 1.15144; a Porosity of 0.72779874088; a Surface Area (m2/g) of 3677.95,nan with a LCD (Å) of 10.5421; a LCD/PLD of 1.16152184140562; a PLD (Å) of 9.07611; a density (g/cm3) of 0.632077; a Pore Volume (cm3/g) of 1.15144; a Porosity of 0.72779874088; a Surface Area (m2/g) of 3677.95,* MOFid-v1.NA.NA;ADATOQ_clean with a LCD (Å) of 10.5421; a LCD/PLD of 1.16152184140562; a PLD (Å) of 9.07611; a density (g/cm3) of 0.632077; a Pore Volume (cm3/g) of 1.15144; a Porosity of 0.72779874088; a Surface Area (m2/g) of 3677.95,Ag6 H144 C156 N40 with a LCD (Å) of 10.5421; a LCD/PLD of 1.16152184140562; a PLD (Å) of 9.07611; a density (g/cm3) of 0.632077; a Pore Volume (cm3/g) of 1.15144; a Porosity of 0.72779874088; a Surface Area (m2/g) of 3677.95,5,5,5,5,ADATEG_manual,27.33782,2.04945933140616,13.33904,0.238777,3.75246,0.89600114142,6170.7,57.9310344827586,31.0344827586207,8.27586206896552,0.689655172413793,0.0,0.0,0.0,2.06896551724138,493.0,0.733630952380952,3.57142857142857,8.0,0.154555269,0.0039981646853543,1,1,"[27.33782, 13.33904, 2.04945933140616]","[27.33782, 13.33904, 2.04945933140616, 0.238777, 3.75246, 0.89600114142, 6170.7]","[27.33782, 13.33904, 2.04945933140616, 0.238777, 3.75246, 0.89600114142, 6170.7, 57.9310344827586, 31.0344827586207, 8.27586206896552, 0.689655172413793, 0.0, 0.0, 0.0, 2.06896551724138]","[27.33782, 13.33904, 2.04945933140616, 0.238777, 3.75246, 0.89600114142, 6170.7, 57.9310344827586, 31.0344827586207, 8.27586206896552, 0.689655172413793, 0.0, 0.0, 0.0, 2.06896551724138, 493.0, 0.733630952380952, 8.0, 3.57142857142857]","[0.238777, 3.75246, 0.89600114142, 6170.7]"
6,6.0,ADATUW_clean,0.0451727481,0.0017744146783006,1.0,1.0,,* MOFid-v1.NA.NA;ADATUW_clean,Ag6 H144 C156 N40,a MOF with a LCD (Å) of 10.34629; a LCD/PLD of 1.16769483231081; a PLD (Å) of 8.86044; a density (g/cm3) of 0.640612; a Pore Volume (cm3/g) of 1.13953; a Porosity of 0.72999659236; a Surface Area (m2/g) of 3624.84,nan with a LCD (Å) of 10.34629; a LCD/PLD of 1.16769483231081; a PLD (Å) of 8.86044; a density (g/cm3) of 0.640612; a Pore Volume (cm3/g) of 1.13953; a Porosity of 0.72999659236; a Surface Area (m2/g) of 3624.84,* MOFid-v1.NA.NA;ADATUW_clean with a LCD (Å) of 10.34629; a LCD/PLD of 1.16769483231081; a PLD (Å) of 8.86044; a density (g/cm3) of 0.640612; a Pore Volume (cm3/g) of 1.13953; a Porosity of 0.72999659236; a Surface Area (m2/g) of 3624.84,Ag6 H144 C156 N40 with a LCD (Å) of 10.34629; a LCD/PLD of 1.16769483231081; a PLD (Å) of 8.86044; a density (g/cm3) of 0.640612; a Pore Volume (cm3/g) of 1.13953; a Porosity of 0.72999659236; a Surface Area (m2/g) of 3624.84,6,6,6,6,ADATOQ_clean,10.5421,1.16152184140562,9.07611,0.632077,1.15144,0.72779874088,3677.95,45.0867052023121,41.6184971098266,0.0,11.5606936416185,0.0,0.0,0.0,1.73410404624277,169.0,0.541666666666667,3.84615384615385,0.0,0.04657916,0.001710606140754,1,1,"[10.5421, 9.07611, 1.16152184140562]","[10.5421, 9.07611, 1.16152184140562, 0.632077, 1.15144, 0.72779874088, 3677.95]","[10.5421, 9.07611, 1.16152184140562, 0.632077, 1.15144, 0.72779874088, 3677.95, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277]","[10.5421, 9.07611, 1.16152184140562, 0.632077, 1.15144, 0.72779874088, 3677.95, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277, 169.0, 0.541666666666667, 0.0, 3.84615384615385]","[0.632077, 1.15144, 0.72779874088, 3677.95]"
7,7.0,ADAVAE_clean,0.0442002705,0.0012418443022156,1.0,0.0,,* MOFid-v1.NA.NA;ADAVAE_clean,Ag6 H144 C156 N40,a MOF with a LCD (Å) of 10.21446; a LCD/PLD of 1.15978649262705; a PLD (Å) of 8.80719; a density (g/cm3) of 0.655338; a Pore Volume (cm3/g) of 1.11423; a Porosity of 0.73019725974; a Surface Area (m2/g) of 3557.22,nan with a LCD (Å) of 10.21446; a LCD/PLD of 1.15978649262705; a PLD (Å) of 8.80719; a density (g/cm3) of 0.655338; a Pore Volume (cm3/g) of 1.11423; a Porosity of 0.73019725974; a Surface Area (m2/g) of 3557.22,* MOFid-v1.NA.NA;ADAVAE_clean with a LCD (Å) of 10.21446; a LCD/PLD of 1.15978649262705; a PLD (Å) of 8.80719; a density (g/cm3) of 0.655338; a Pore Volume (cm3/g) of 1.11423; a Porosity of 0.73019725974; a Surface Area (m2/g) of 3557.22,Ag6 H144 C156 N40 with a LCD (Å) of 10.21446; a LCD/PLD of 1.15978649262705; a PLD (Å) of 8.80719; a density (g/cm3) of 0.655338; a Pore Volume (cm3/g) of 1.11423; a Porosity of 0.73019725974; a Surface Area (m2/g) of 3557.22,7,7,7,7,ADATUW_clean,10.34629,1.16769483231081,8.86044,0.640612,1.13953,0.72999659236,3624.84,45.0867052023121,41.6184971098266,0.0,11.5606936416185,0.0,0.0,0.0,1.73410404624277,169.0,0.541666666666667,3.84615384615385,0.0,0.0451727481,0.0017744146783006,1,1,"[10.34629, 8.86044, 1.16769483231081]","[10.34629, 8.86044, 1.16769483231081, 0.640612, 1.13953, 0.72999659236, 3624.84]","[10.34629, 8.86044, 1.16769483231081, 0.640612, 1.13953, 0.72999659236, 3624.84, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277]","[10.34629, 8.86044, 1.16769483231081, 0.640612, 1.13953, 0.72999659236, 3624.84, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277, 169.0, 0.541666666666667, 0.0, 3.84615384615385]","[0.640612, 1.13953, 0.72999659236, 3624.84]"
8,8.0,ADAVEI_clean,0.0442070507,0.0007859652403335,1.0,0.0,,* MOFid-v1.NA.NA;ADAVEI_clean,Ag6 H144 C156 N40,a MOF with a LCD (Å) of 10.15021; a LCD/PLD of 1.16559353895586; a PLD (Å) of 8.70819; a density (g/cm3) of 0.656268; a Pore Volume (cm3/g) of 1.09559; a Porosity of 0.71900065812; a Surface Area (m2/g) of 3672.63,nan with a LCD (Å) of 10.15021; a LCD/PLD of 1.16559353895586; a PLD (Å) of 8.70819; a density (g/cm3) of 0.656268; a Pore Volume (cm3/g) of 1.09559; a Porosity of 0.71900065812; a Surface Area (m2/g) of 3672.63,* MOFid-v1.NA.NA;ADAVEI_clean with a LCD (Å) of 10.15021; a LCD/PLD of 1.16559353895586; a PLD (Å) of 8.70819; a density (g/cm3) of 0.656268; a Pore Volume (cm3/g) of 1.09559; a Porosity of 0.71900065812; a Surface Area (m2/g) of 3672.63,Ag6 H144 C156 N40 with a LCD (Å) of 10.15021; a LCD/PLD of 1.16559353895586; a PLD (Å) of 8.70819; a density (g/cm3) of 0.656268; a Pore Volume (cm3/g) of 1.09559; a Porosity of 0.71900065812; a Surface Area (m2/g) of 3672.63,8,8,8,8,ADAVAE_clean,10.21446,1.15978649262705,8.80719,0.655338,1.11423,0.73019725974,3557.22,45.0867052023121,41.6184971098266,0.0,11.5606936416185,0.0,0.0,0.0,1.73410404624277,169.0,0.541666666666667,3.84615384615385,0.0,0.0442002705,0.0012418443022156,1,0,"[10.21446, 8.80719, 1.15978649262705]","[10.21446, 8.80719, 1.15978649262705, 0.655338, 1.11423, 0.73019725974, 3557.22]","[10.21446, 8.80719, 1.15978649262705, 0.655338, 1.11423, 0.73019725974, 3557.22, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277]","[10.21446, 8.80719, 1.15978649262705, 0.655338, 1.11423, 0.73019725974, 3557.22, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277, 169.0, 0.541666666666667, 0.0, 3.84615384615385]","[0.655338, 1.11423, 0.73019725974, 3557.22]"
9,9.0,ADAVIM_clean,0.0448323065,0.0018168973344441,1.0,1.0,,* MOFid-v1.NA.NA;ADAVIM_clean,Ag6 H132 C156 N40,a MOF with a LCD (Å) of 10.34557; a LCD/PLD of 1.16233870560015; a PLD (Å) of 8.90065; a density (g/cm3) of 0.637582; a Pore Volume (cm3/g) of 1.14025; a Porosity of 0.7270028755; a Surface Area (m2/g) of 3693.81,nan with a LCD (Å) of 10.34557; a LCD/PLD of 1.16233870560015; a PLD (Å) of 8.90065; a density (g/cm3) of 0.637582; a Pore Volume (cm3/g) of 1.14025; a Porosity of 0.7270028755; a Surface Area (m2/g) of 3693.81,* MOFid-v1.NA.NA;ADAVIM_clean with a LCD (Å) of 10.34557; a LCD/PLD of 1.16233870560015; a PLD (Å) of 8.90065; a density (g/cm3) of 0.637582; a Pore Volume (cm3/g) of 1.14025; a Porosity of 0.7270028755; a Surface Area (m2/g) of 3693.81,Ag6 H132 C156 N40 with a LCD (Å) of 10.34557; a LCD/PLD of 1.16233870560015; a PLD (Å) of 8.90065; a density (g/cm3) of 0.637582; a Pore Volume (cm3/g) of 1.14025; a Porosity of 0.7270028755; a Surface Area (m2/g) of 3693.81,9,9,9,9,ADAVEI_clean,10.15021,1.16559353895586,8.70819,0.656268,1.09559,0.71900065812,3672.63,45.0867052023121,41.6184971098266,0.0,11.5606936416185,0.0,0.0,0.0,1.73410404624277,169.0,0.541666666666667,3.84615384615385,0.0,0.0442070507,0.0007859652403335,1,0,"[10.15021, 8.70819, 1.16559353895586]","[10.15021, 8.70819, 1.16559353895586, 0.656268, 1.09559, 0.71900065812, 3672.63]","[10.15021, 8.70819, 1.16559353895586, 0.656268, 1.09559, 0.71900065812, 3672.63, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277]","[10.15021, 8.70819, 1.16559353895586, 0.656268, 1.09559, 0.71900065812, 3672.63, 45.0867052023121, 41.6184971098266, 0.0, 11.5606936416185, 0.0, 0.0, 0.0, 1.73410404624277, 169.0, 0.541666666666667, 0.0, 3.84615384615385]","[0.656268, 1.09559, 0.71900065812, 3672.63]"
