Materials,Prozessbedingung,homogenized_temperature,homogenized_time,solutionized_temperature,solutionized_time,extrution_temperature,extrution_speed,extrusion_ratio,ECAE_temperature,ECAE_pass,Fe,Cu,Ni,Nd,Zn,Ca,Al,Sn,Mn,Si,Gd,Y,Zr,grain_size,grain_size_error,second_phase,second_phase_error,vpd
Mg,extruded,440,0.5,,,450,0.6,63,,,0.0015,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,131.4,76,0,0,0
Mg-0.5Nd,extruded,440,0.5,,,450,0.6,63,,,0.0082,0.0019,0.0003,0.68,0,0,0,0,0,0,0,0,0,24.7,9.8,0.5,1,60
Mg-2Nd,extruded,440,0.5,,,450,0.6,63,,,0.0026,0.0021,0.0011,2.39,0,0,0,0,0,0,0,0,0,19.8,8,1.4,0.2,60
Mg-5Nd,extruded,440,0.5,,,450,0.6,63,,,0.016,0.0024,0.0038,4.2,0,0,0,0,0,0,0,0,0,9.5,3.6,10.3,1,60
Mg-2Zn,heat-treated,315,48,315,5,,,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,914.27,191.11,0.06,0,550
Mg-2Zn-0.1Cu,heat-treated,435,48,435,5,,,,,,0,0.1,0,0,2,0,0,0,0,0,0,0,0,459.52,90.52,0.53,0,680
Mg-2Zn-0.3Cu,heat-treated,435,48,435,5,,,,,,0,0.3,0,0,2,0,0,0,0,0,0,0,0,379.51,88.63,1.52,0,680
Mg-2Zn-0.5Cu,heat-treated,435,48,435,5,,,,,,0,0.5,0,0,2,0,0,0,0,0,0,0,0,321.42,54.11,2.07,0,680
Mg-2Zn-1Cu,heat-treated,435,48,435,5,,,,,,0,1,0,0,2,0,0,0,0,0,0,0,0,308.37,51.13,6.68,0,680
Mg-2Zn-3Cu,heat-treated,435,48,435,5,,,,,,0,3,0,0,2,0,0,0,0,0,0,0,0,247.46,33.77,10.46,0,680
Mg-2Zn,extruded,315,48,315,5,300,1,12,,,0,0,0,0,2,0,0,0,0,0,0,0,0,13.25,2.72,0.02,0,550
Mg-2Zn-0.1Cu,extruded,435,48,435,5,300,1,12,,,0,0.1,0,0,2,0,0,0,0,0,0,0,0,9.53,2.57,0.44,0,680
Mg-2Zn-0.3Cu,extruded,435,48,435,5,300,1,12,,,0,0.3,0,0,2,0,0,0,0,0,0,0,0,8.24,2.21,1.12,0,680
Mg-2Zn-0.5Cu,extruded,435,48,435,5,300,1,12,,,0,0.5,0,0,2,0,0,0,0,0,0,0,0,7.87,1.55,1.58,0,680
Mg-2Zn-1Cu,extruded,435,48,435,5,300,1,12,,,0,1,0,0,2,0,0,0,0,0,0,0,0,6.24,2.01,2.14,0,680
Mg-2Zn-3Cu,extruded,435,48,435,5,300,1,12,,,0,3,0,0,2,0,0,0,0,0,0,0,0,5.79,1.06,8.54,0,680
Mg–3Zn–0.3Ca ,as-cast,,,,,,,,,,0,0,0,0,3,0.3,0,0,0,0,0,0,0,97,6,2.4,0.4,50
Mg–3Zn–0.3Ca ,heat-treated,,,310,24,,,,,,0,0,0,0,3,0.3,0,0,0,0,0,0,0,114,7,1.7,0.2,50
Mg–3Zn–0.3Ca ,heat-treated,,,360,24,,,,,,0,0,0,0,3,0.3,0,0,0,0,0,0,0,129,9,1.5,0.1,50
Mg–3Zn–0.3Ca ,heat-treated,,,400,24,,,,,,0,0,0,0,3,0.3,0,0,0,0,0,0,0,151,5,1.3,0.3,50
Mg–3Zn–0.3Ca ,heat-treated,,,420,24,,,,,,0,0,0,0,3,0.3,0,0,0,0,0,0,0,166,8,0.7,0.3,50
Mg–3Zn–0.3Ca ,heat-treated,,,420,48,,,,,,0,0,0,0,3,0.3,0,0,0,0,0,0,0,180,7,0.2,0.1,50
Mg–3Zn–0.3Ca ,heat-treated,,,450,24,,,,,,0,0,0,0,3,0.3,0,0,0,0,0,0,0,193,9,0.08,0.03,50
Mg–3Zn–0.3Ca ,heat-treated,,,450,48,,,,,,0,0,0,0,3,0.3,0,0,0,0,0,0,0,214,10,0.06,0.01,50
Mg-0.5Mn-0.5Ca,extruded,280,0.5,,,260,5,10,,,0,0,0,0,0,0.39,0,0,0.52,0,0,0,0,2.8,,2.2,0.4,-96.23
Mg-0.5Mn-0.5Ca-2Al,extruded,280,0.5,,,260,5,10,,,0,0,0,0,0,0.42,2.38,0,0.48,0,0,0,0,1.95,,8,1.1,533.675
Mg-0.5Mn-0.5Ca-9Sn,extruded,280,0.5,,,260,5,10,,,0,0,0,0,0,0.49,0,9.14,0.54,0,0,0,0,2.91,,23.1,4,254.92
Mg-0.5Mn-0.5Ca-4Zn,extruded,280,0.5,,,260,5,10,,,0,0,0,0,3.9,0.44,0,0,0.56,0,0,0,0,2.47,,8.7,1.1,396.05
Mg-1Ca,as-cast,,,,,,,,,,0.0023,0,0,0,0,0.8533,0.0072,0,0.0126,0.0158,0,0,0,85,11,5.1,1.2,-126
Mg-1Ca-2Zn,as-cast,,,,,,,,,,0.0035,0,0,0,1.7242,0.8641,0.0056,0,0.0148,0.0203,0,0,0,65,9,10.7,1.1,-38
Mg-1Ca-5Zn,as-cast,,,,,,,,,,0.0105,0,0,0,4.6224,0.8674,0.0089,0,0.0156,0.0187,0,0,0,55,10,11.7,1.5,50
