Chemicals;SMILES;Temperature (kelvin);Dynamic Viscosity (cp);Classification (based on dynamic viscosity);viscosity_2bins_5050;viscosity_7228
1-(Isocyanato-1-methylethyl)-3-(1-ethylethenyl) benzene;CCC(=C)c1cccc(c1)C(C)(C)N=C=O;298.15;3.128;High;1;1
1-(Isocyanato-1-methylethyl)-4-(1-ethylethenyl) benzene;CCC(=C)c1ccc(cc1)C(C)(C)N=C=O;298.15;3.913;High;1;1
1,2 Diamino propane;CC(N)CN;298.15;1.57;Low;0;0
1-Butanol;CCCCO;298.15;2.524;High;1;0
1-Decanol;CCCCCCCCCCO;298.15;10.974;High;1;1
1-Fluoro-2-nitrobenzene;[O-][N+](=O)c1ccccc1F;298.15;2.427;High;1;0
1-Heptanol;CCCCCCCO;298.15;5.942;High;1;1
1-Heptene;CCCCCC=C;298.15;0.34;Low;0;0
1-Octanol;CCCCCCCCO;298.15;7.663;High;1;1
1-Propanol;CCCO;298.15;1.953;High;1;0
2,2-Dimethyl butane;CCC(C)(C)C;298.15;0.351;Low;0;0
2,4-Dimethyl sulfolane;CC1CC(C)[S](=O)(=O)C1;298.15;9.079;High;1;1
2-Butanol;CCC(C)O;298.15;3.501;High;1;1
2-Butoxyethanol;CCCCOCCO;298.15;3.148;High;1;1
2-Furaldehyde;O=Cc1occc1;298.15;1.494;Low;0;0
2-Heptanone;CCCCCC(C)=O;298.15;0.709;Low;0;0
2-Methoxyethanol;COCCO;298.15;1.597;Low;0;0
2-Methyl-1-propanol;CC(C)CO;298.15;3.38;High;1;1
2-Phenyl-1-propanol;CC(CO)c1ccccc1;298.15;15.601;High;1;1
2-Propanol;CC(C)O;298.15;2.015;High;1;0
3,5,5-trimethylhexan-1-ol;CC(CCO)CC(C)(C)C;298.15;10.437;High;1;1
3-Fluoroaniline;Nc1cccc(F)c1;298.15;2.475;High;1;0
3-Methyl pentane;CCC(C)CC;298.15;0.307;Low;0;0
Allyl chloride;ClCC=C;298.15;0.313;Low;0;0
Allyl ether;C=CCOCC=C;298.15;0.417;Low;0;0
Benzonitrile;N#Cc1ccccc1;298.15;1.282;Low;0;0
Benzyl Chloride;ClCc1ccccc1;298.15;1.28;Low;0;0
Chloroform;ClC(Cl)Cl;298.15;0.545;Low;0;0
Decane;CCCCCCCCCC;298.15;0.851;Low;0;0
Diethylene glycol dinitrate;OCCOCCO.O[N+]([O-])=O.O[N+]([O-])=O;298.15;6.711;High;1;1
Ethanol;CCO;298.15;1.056;Low;0;0
Ethylene glycol dinitrate;OCCO.O[N+]([O-])=O.O[N+]([O-])=O;298.15;3.69;High;1;1
Methyl cyclopentane;CC1CCCC1;298.15;0.478;Low;0;0
Nitrobenzene;[O-][N+](=O)c1ccccc1;298.15;1.873;High;1;0
Pentadecane;CCCCCCCCCCCCCCC;298.15;2.534;High;1;0
Perfluoro-1,4-diisopropoxybutane;FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F;298.15;2.058;High;1;0
Perfluoro-1-isopropoxy hexane;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F;298.15;1.541;Low;0;0
Propyleneglycol dinitrate;CC(O)CO.O[N+]([O-])=O.O[N+]([O-])=O;298.15;3.546;High;1;1
Tributyl borate;CCCCOB(OCCCC)OCCCC;298.15;1.643;Low;0;0
Tridecane;CCCCCCCCCCCCC;298.15;1.688;Low;0;0
Triethyl borate;CCOB(OCC)OCC;298.15;0.518;Low;0;0
Trifluoroiodomethane;FC(F)(F)I;298.15;0.283;Low;0;0
Triisobutyl borate;CC(C)COB(OCC(C)C)OCC(C)C;298.15;1.822;High;1;0
Triisopropyl borate;CC(C)OB(OC(C)C)OC(C)C;298.15;0.805;Low;0;0
Trimethyl borate;COB(OC)OC;298.15;0.375;Low;0;0
Tri-n-propyl ortho phosphate;CCCO[P](=O)(OCCC)OCCC;298.15;2.511;High;1;0
Tripropyl borate;CCCOB(OCCC)OCCC;298.15;1.022;Low;0;0
Undecane;CCCCCCCCCCC;298.15;1.081;Low;0;0
1,3-Bis(1-isocyanato-1-methylethyl)benzene;CC(C)(N=C=O)c1cccc(c1)C(C)(C)N=C=O;298.15;8.203;High;1;1
Ethyltrifluoroacetate;CCOC(=O)C(F)(F)F;298.15;0.434;Low;0;0
glycerol;OCC(O)CO;298.15;945;High;1;1
