Name;iupac;iupac-common name;omega;delta;InChI;SMILES;[kJ /mol ];[C ];
66S;3-(octadecanoyloxy)propane-1,2-diyl dihexanate;3-(stearoyloxy)propane-1,2-diyl dicaprate;1(6:0)-2(6:0)-3(18:0);1(6:0)-2(6:0)-3(18:0);InChI=1S/C33H62O6/c1-4-7-10-11-12-13-14-15-16-17-18-19-20-21-24-26-32(35)38-29-30(39-33(36)27-23-9-6-3)28-37-31(34)25-22-8-5-2/h30H,4-29H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCC)OC(=O)CCCCC;;22.6;0
66B;3-(docosanoicoyloxy)propane-1,2-diyl dihexanate;3-(behenoyloxy)propane-1,2-diyl dicaprate;1(6:0)-2(6:0)-3(22:0);1(6:0)-2(6:0)-3(22:0);InChI=1S/C37H70O6/c1-4-7-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-28-30-36(39)42-33-34(43-37(40)31-27-9-6-3)32-41-35(38)29-26-8-5-2/h34H,4-33H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCC)OC(=O)CCCCC;;34;0
6S6;2-(octadecanoyloxy)propane-1,3-diyl dihexanate;2-(stearoyloxy)propane-1,3-diyl dicaprate;1(6:0)-2(18:0)-3(6:0);1(6:0)-2(18:0)-3(6:0);InChI=1S/C33H62O6/c1-4-7-10-11-12-13-14-15-16-17-18-19-20-21-24-27-33(36)39-30(28-37-31(34)25-22-8-5-2)29-38-32(35)26-23-9-6-3/h30H,4-29H2,1-3H3;O=C(CCCCC)OCC(COC(=O)CCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;32;0
8.8.8(a );propane-1,2,3-triyl octanate;propane-1,2,3-triyl caprylate;1(8:0)-2(8:0)-3(8:0);1(8:0)-2(8:0)-3(8:0);InChI=1S/C27H50O6/c1-4-7-10-13-16-19-25(28)31-22-24(33-27(30)21-18-15-12-9-6-3)23-32-26(29)20-17-14-11-8-5-2/h24H,4-23H2,1-3H3;O=C(CCCCCCC)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC;69.5;11;0
8.8.8;propane-1,2,3-triyl octanate;propane-1,2,3-triyl caprylate;1(8:0)-2(8:0)-3(8:0);1(8:0)-2(8:0)-3(8:0);InChI=1S/C27H50O6/c1-4-7-10-13-16-19-25(28)31-22-24(33-27(30)21-18-15-12-9-6-3)23-32-26(29)20-17-14-11-8-5-2/h24H,4-23H2,1-3H3;O=C(CCCCCCC)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC;69.2;9.1;0
88C;3-(decanoyloxy)propane-1,2-diyl dioctanate;3-(caprioyloxy)propane-1,2-diyl dicaprylate;1(8:0)-2(8:0)-3(10:0);1(8:0)-2(8:0)-3(10:0);InChI=1S/C29H54O6/c1-4-7-10-13-14-17-19-22-28(31)34-25-26(35-29(32)23-20-16-12-9-6-3)24-33-27(30)21-18-15-11-8-5-2/h26H,4-25H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC;59;11.5;0
88S;3-(octadecanoyloxy)propane-1,2-diyl dioctanate;3-(stearoyloxy)propane-1,2-diyl dicaprylate;1(8:0)-2(8:0)-3(18:0);1(8:0)-2(8:0)-3(18:0);InChI=1S/C37H70O6/c1-4-7-10-13-14-15-16-17-18-19-20-21-22-25-27-30-36(39)42-33-34(43-37(40)31-28-24-12-9-6-3)32-41-35(38)29-26-23-11-8-5-2/h34H,4-33H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC;;31;0
88B;3-(docosanoicoyloxy)propane-1,2-diyl dioctanate;3-(behenoyloxy)propane-1,2-diyl dicaprylate;1(8:0)-2(8:0)-3(22:0);1(8:0)-2(8:0)-3(22:0);InChI=1S/C41H78O6/c1-4-7-10-13-14-15-16-17-18-19-20-21-22-23-24-25-26-29-31-34-40(43)46-37-38(47-41(44)35-32-28-12-9-6-3)36-45-39(42)33-30-27-11-8-5-2/h38H,4-37H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC;;38;0
8C8;2-(decanoyloxy)propane-1,3-diyl dioctanate;2-(caprioyloxy)propane-1,3-diyl dicaprylate;1(8:0)-2(10:0)-3(8:0);1(8:0)-2(10:0)-3(8:0);InChI=1S/C29H54O6/c1-4-7-10-13-14-17-20-23-29(32)35-26(24-33-27(30)21-18-15-11-8-5-2)25-34-28(31)22-19-16-12-9-6-3/h26H,4-25H2,1-3H3;O=C(CCCCCCC)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCCCC;;20.5;0
8CC;3-(octanoyloxy)propane-1,2-diyl didecanate;3-(capryloyloxy)propane-1,2-diyl dicapriate;1(8:0)-2(10:0)-3(10:0);1(8:0)-2(10:0)-3(10:0);InChI=1S/C31H58O6/c1-4-7-10-13-15-18-21-24-30(33)36-27-28(26-35-29(32)23-20-17-12-9-6-3)37-31(34)25-22-19-16-14-11-8-5-2/h28H,4-27H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCCCC;;19;0
8S8;2-(octadecanoyloxy)propane-1,3-diyl dioctanate;2-(stearoyloxy)propane-1,3-diyl dicaprylate;1(8:0)-2(18:0)-3(8:0);1(8:0)-2(18:0)-3(8:0);InChI=1S/C37H70O6/c1-4-7-10-13-14-15-16-17-18-19-20-21-22-25-28-31-37(40)43-34(32-41-35(38)29-26-23-11-8-5-2)33-42-36(39)30-27-24-12-9-6-3/h34H,4-33H2,1-3H3;O=C(CCCCCCC)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;41;0
9.9.9(a );propane-1,2,3-triyl nonanate;propane-1,2,3-triyl pelargate;1(9:0)-2(9:0)-3(9:0);1(9:0)-2(9:0)-3(9:0);InChI=1S/C30H56O6/c1-4-7-10-13-16-19-22-28(31)34-25-27(36-30(33)24-21-18-15-12-9-6-3)26-35-29(32)23-20-17-14-11-8-5-2/h27H,4-26H2,1-3H3;O=C(CCCCCCCC)OCC(COC(=O)CCCCCCCC)OC(=O)CCCCCCCC;54.8;10;0
CCC ;propane-1,2,3-triyl decanate;propane-1,2,3-triyl capriate;1(10:0)-2(10:0)-3(10:0);1(10:0)-2(10:0)-3(10:0);InChI=1S/C33H62O6/c1-4-7-10-13-16-19-22-25-31(34)37-28-30(39-33(36)27-24-21-18-15-12-9-6-3)29-38-32(35)26-23-20-17-14-11-8-5-2/h30H,4-29H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC;95;31.6;0
CCC ;propane-1,2,3-triyl decanate;propane-1,2,3-triyl capriate;1(10:0)-2(10:0)-3(10:0);1(10:0)-2(10:0)-3(10:0);InChI=1S/C33H62O6/c1-4-7-10-13-16-19-22-25-31(34)37-28-30(39-33(36)27-24-21-18-15-12-9-6-3)29-38-32(35)26-23-20-17-14-11-8-5-2/h30H,4-29H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC;95;31.6;0
CCL ;3-(dodecanoyloxy)propane-1,2-diyl didecanate;3-(lauroyloxy)propane-1,2-diyl dicapriate;1(10:0)-2(10:0)-3(12:0);1(10:0)-2(10:0)-3(12:0);InChI=1S/C35H66O6/c1-4-7-10-13-16-17-20-22-25-28-34(37)40-31-32(41-35(38)29-26-23-19-15-12-9-6-3)30-39-33(36)27-24-21-18-14-11-8-5-2/h32H,4-31H2,1-3H3;O=C(CCCCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC;;30;0
CCM ;3-(tetradecanoyloxy)propane-1,2-diyl didecanate;3-(myristoyloxy)propane-1,2-diyl dicapriate;1(10:0)-2(10:0)-3(14:0);1(10:0)-2(10:0)-3(14:0);InChI=1S/C37H70O6/c1-4-7-10-13-16-17-18-19-22-24-27-30-36(39)42-33-34(43-37(40)31-28-25-21-15-12-9-6-3)32-41-35(38)29-26-23-20-14-11-8-5-2/h34H,4-33H2,1-3H3;O=C(CCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC;;34.5;0
LLM ;3-(tetradecanoyloxy)propane-1,2-diyl didodecanate;3-(myristoyloxy)propane-1,2-diyl dilaurate;1(12:0)-2(12:0)-3(14:0);1(12:0)-2(12:0)-3(14:0);InChI=1S/C41H78O6/c1-4-7-10-13-16-19-20-23-25-28-31-34-40(43)46-37-38(47-41(44)35-32-29-26-22-18-15-12-9-6-3)36-45-39(42)33-30-27-24-21-17-14-11-8-5-2/h38H,4-37H2,1-3H3;O=C(CCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;116;42.3;0
CCP ;3-(hexadecanoyloxy)propane-1,2-diyl didecanate;3-(palmitoyloxy)propane-1,2-diyl dicapriate;1(10:0)-2(10:0)-3(16:0);1(10:0)-2(10:0)-3(16:0);InChI=1S/C39H74O6/c1-4-7-10-13-16-17-18-19-20-21-24-26-29-32-38(41)44-35-36(45-39(42)33-30-27-23-15-12-9-6-3)34-43-37(40)31-28-25-22-14-11-8-5-2/h36H,4-35H2,1-3H3;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC;;35;0
CCS ;3-(octadecanoyloxy)propane-1,2-diyl didecanate;3-(stearoyloxy)propane-1,2-diyl dicapriate;1(10:0)-2(10:0)-3(18:0);1(10:0)-2(10:0)-3(18:0);InChI=1S/C41H78O6/c1-4-7-10-13-16-17-18-19-20-21-22-23-26-28-31-34-40(43)46-37-38(47-41(44)35-32-29-25-15-12-9-6-3)36-45-39(42)33-30-27-24-14-11-8-5-2/h38H,4-37H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC;;42.5;0
CLC ;2-(dodecanoyloxy)propane-1,3-diyl didecanate;2-(lauroyloxy)propane-1,3-diyl dicapriate;1(10:0)-2(12:0)-3(10:0);1(10:0)-2(12:0)-3(10:0);InChI=1S/C35H66O6/c1-4-7-10-13-16-17-20-23-26-29-35(38)41-32(30-39-33(36)27-24-21-18-14-11-8-5-2)31-40-34(37)28-25-22-19-15-12-9-6-3/h32H,4-31H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCC;;37.55;0
CLC ;2-(dodecanoyloxy)propane-1,3-diyl didecanate;2-(lauroyloxy)propane-1,3-diyl dicapriate;1(10:0)-2(12:0)-3(10:0);1(10:0)-2(12:0)-3(10:0);InChI=1S/C35H66O6/c1-4-7-10-13-16-17-20-23-26-29-35(38)41-32(30-39-33(36)27-24-21-18-14-11-8-5-2)31-40-34(37)28-25-22-19-15-12-9-6-3/h32H,4-31H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCC;;34;0
CLL ;3-(decanoyloxy)propane-1,2-diyl didodecanate;3-(caprioyloxy)propane-1,2-diyl dilaurate;1(10:0)-2(12:0)-3(12:0);1(10:0)-2(12:0)-3(12:0);InChI=1S/C37H70O6/c1-4-7-10-13-16-18-21-24-27-30-36(39)42-33-34(32-41-35(38)29-26-23-20-15-12-9-6-3)43-37(40)31-28-25-22-19-17-14-11-8-5-2/h34H,4-33H2,1-3H3;O=C(CCCCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCC;;34.1;0
CLS ;1-(decanoyloxy)-2-(dodecanoyloxy)propan-3-yl octadecanate;1-(caprioyloxy)-2-(lauroyloxy)propan-3-yl stearate;1(10:0)-2(12:0)-3(18:0);1(10:0)-2(12:0)-3(18:0);InChI=1S/C43H82O6/c1-4-7-10-13-16-18-19-20-21-22-23-25-27-30-33-36-42(45)48-39-40(38-47-41(44)35-32-29-26-15-12-9-6-3)49-43(46)37-34-31-28-24-17-14-11-8-5-2/h40H,4-39H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCC;;44;0
CMC ;2-(tetradecanoyloxy)propane-1,3-diyl didecanate;2-(myristoyloxy)propane-1,3-diyl dicapriate;1(10:0)-2(14:0)-3(10:0);1(10:0)-2(14:0)-3(10:0);InChI=1S/C37H70O6/c1-4-7-10-13-16-17-18-19-22-25-28-31-37(40)43-34(32-41-35(38)29-26-23-20-14-11-8-5-2)33-42-36(39)30-27-24-21-15-12-9-6-3/h34H,4-33H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCC;;34;0
CMM ;3-(decanoyloxy)propane-1,2-diyl ditetradecanate;3-(caprioyloxy)propane-1,2-diyl dimyristate;1(10:0)-2(14:0)-3(14:0);1(10:0)-2(14:0)-3(14:0);InChI=1S/C41H78O6/c1-4-7-10-13-16-18-20-22-25-28-31-34-40(43)46-37-38(36-45-39(42)33-30-27-24-15-12-9-6-3)47-41(44)35-32-29-26-23-21-19-17-14-11-8-5-2/h38H,4-37H2,1-3H3;O=C(CCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCC;;43.5;0
CMS ;1-(decanoyloxy)-2-(tetradecanoyloxy)propan-3-yl octadecanate;1-(caprioyloxy)-2-(myristoyloxy)propan-3-yl stearate;1(10:0)-2(14:0)-3(18:0);1(10:0)-2(14:0)-3(18:0);InChI=1S/C45H86O6/c1-4-7-10-13-16-18-20-21-22-23-25-26-29-32-35-38-44(47)50-41-42(40-49-43(46)37-34-31-28-15-12-9-6-3)51-45(48)39-36-33-30-27-24-19-17-14-11-8-5-2/h42H,4-41H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCC;;45;0
CPC ;2-(hexadecanoyloxy)propane-1,3-diyl didecanate;2-(palmitoyloxy)propane-1,3-diyl dicapriate;1(10:0)-2(16:0)-3(10:0);1(10:0)-2(16:0)-3(10:0);InChI=1S/C39H74O6/c1-4-7-10-13-16-17-18-19-20-21-24-27-30-33-39(42)45-36(34-43-37(40)31-28-25-22-14-11-8-5-2)35-44-38(41)32-29-26-23-15-12-9-6-3/h36H,4-35H2,1-3H3;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;;40;0
