,SMILES,E_coh (MPa),T_g (K),R_gyr (A^2),Densities (kg/m^3),E_coh_bin,T_g_bin,R_gyr_bin,Densities_bin,smiles_lenght
0,C=CC(=O)OCC(CC)CCCC,328.5535787909332,224.9888154497136,1.0197584586762849e-19,887.1502141748978,0,0,1,0,19
1,C=C(C)C(=O)Nc1ccccc1OCC,492.40024763301216,288.5044972552406,8.802317579016666e-20,1070.9537068070358,0,0,0,0,23
2,C=CC(=O)Nc1ccc(C(=O)OCC)cc1Br,524.0928752539866,333.72747349155054,1.217450142653695e-19,1437.6408310586928,0,1,1,1,29
3,C=CCNC(=O)c1ccc(NC(=O)C=C)cc1,660.2253975404777,331.3871064203328,1.4724572465800694e-19,1156.062193384639,1,1,1,1,29
4,C=CC(=O)N1c2cc(C)c(C)cc2C2=C(SC(C(=O)OC)=C(C(=O)OC)C23SC(C(=O)OC)=C(C(=O)OC)S3)C1(C)C,383.2219775977681,394.79201028395926,1.8037502435153344e-19,1250.4103205892716,0,1,1,1,85
5,C=CC(=O)N(C)Cc1nccn1CC(F)(F)F,506.75205394684,349.0678947180336,8.486896868337717e-20,1293.1205241799569,0,1,0,1,29
6,C=C(C)C(=O)NCCc1ccc(S(=O)(=O)N2CCCCCC2)cc1,532.8384432670748,351.5340617962755,2.119528136040742e-19,1170.961559542188,0,1,1,1,42
7,C=CC(=O)NCC1CC1,519.9279077712333,225.9230143799503,5.2617877875768496e-20,993.5326642774352,0,0,0,0,15
8,C=CC(=O)NCCCN1CCN(c2ccccc2OC)CC1,606.6833416056011,355.2097125301241,2.153114034762886e-19,1109.6861837278,1,1,1,0,32
9,C=C(C)C(=O)Nc1ccc2c(c1)ncn2CC(=O)NCCc1ccc(OC)c(OC)c1,493.99088688698856,400.314964539323,2.2269369365061807e-19,1180.820772795326,0,1,1,1,52
10,C=CC(=O)N1CCc2c(nnn2CC2CC2)C1COCc1ccccc1,528.7056107948852,350.82574920883087,1.7711992756818516e-19,1148.5010336237478,0,1,1,1,40
11,C=CC(=O)NCCCN1C(=O)NC2(CCCCC2)C1=O,615.2822626137558,393.78152173716,1.5708793033227091e-19,1151.704368854247,1,1,1,1,34
12,C#CCNC(=O)c1ccccc1NC(=O)C=C,588.7993827219967,343.52759611000874,1.0423055364624068e-19,1179.6046562911176,1,1,1,1,27
13,C=CC(=O)NCCCOCCCC,469.104949785524,256.9913073498039,1.359874431817945e-19,961.1902780751542,0,0,1,0,17
14,C=C(C)C(=O)OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,277.5225354152051,218.37594886405188,1.618396081551236e-19,1630.005884412156,0,0,1,1,59
