scattering_pattern,structure_type,num_atoms,num_atoms_2bins_5050,num_atoms_4bins,num_atoms_10bins,structure_type_cat
[ 0.    -0.025 -0.05  -0.074 -0.098 -0.12  -0.142 -0.162 -0.18  -0.195 -0.21  -0.224 -0.202  0.42   0.467  0.532  0.743 -0.188 -0.252 -0.238 -0.229 -0.064  0.656  0.036 -0.183 -0.176 -0.115  0.09  -0.073 -0.115 -0.101 -0.084 -0.069 -0.055 -0.041 -0.027 -0.016 -0.005  0.006  0.014  0.021  0.027  0.032  0.036  0.038  0.039  0.039  0.038  0.036  0.034  0.031  0.027  0.023  0.018  0.013  0.009  0.004 -0.    -0.005 -0.009 -0.012 -0.016 -0.018 -0.02  -0.022 -0.023 -0.023 -0.023 -0.022 -0.021 -0.019 -0.018 -0.015 -0.013 -0.01  -0.007 -0.004 -0.001  0.002  0.004  0.007  0.009  0.011  0.013  0.014  0.015  0.016  0.016  0.016  0.015  0.014  0.014  0.012  0.01   0.009  0.007  0.005  0.003  0.001 -0.001 -0.003 -0.005 -0.006 -0.008 -0.009 -0.01  -0.011 -0.012 -0.012 -0.012 -0.011 -0.011 -0.01  -0.009 -0.008 -0.007 -0.005 -0.004 -0.002 -0.001  0.001  0.002  0.003  0.005  0.006  0.007  0.008  0.008  0.009  0.009  0.009  0.009  0.008  0.008],BCC,9,0,0,0,0
[ 0.    -0.022 -0.048 -0.071 -0.091 -0.113 -0.136 -0.153 -0.168 -0.187 -0.202 -0.209 -0.221 -0.191  0.493  0.394  0.444  0.815 -0.16  -0.234 -0.227 -0.23  -0.195  0.349  0.483 -0.145 -0.173 -0.149 -0.06   0.103 -0.078 -0.094 -0.082 -0.071 -0.055 -0.041 -0.032 -0.021 -0.009 -0.001  0.006  0.014  0.02   0.023  0.026  0.03   0.031  0.03   0.031  0.03  0.027  0.025  0.023  0.019  0.015  0.012  0.009  0.004  0.    -0.002 -0.006 -0.009 -0.011 -0.013 -0.015 -0.017 -0.017 -0.017 -0.018 -0.017 -0.016 -0.015 -0.014 -0.012 -0.01  -0.008 -0.006 -0.003 -0.001  0.001  0.003  0.005  0.007  0.008  0.01   0.011  0.011  0.012  0.012  0.012  0.011  0.011  0.01   0.009  0.008  0.007  0.005  0.003  0.002  0. -0.001 -0.002 -0.004 -0.005 -0.006 -0.007 -0.008 -0.008 -0.009 -0.009 -0.009 -0.008 -0.008 -0.007 -0.007 -0.006 -0.005 -0.004 -0.003 -0.001 -0.     0.001  0.002  0.003  0.004  0.005  0.005  0.006  0.006  0.006  0.007  0.007  0.006  0.006],BCC,9,0,0,0,0
[ 0.    -0.026 -0.05  -0.074 -0.099 -0.121 -0.142 -0.163 -0.181 -0.196 -0.21  -0.225 -0.182  0.527  0.37   0.689  0.579 -0.214 -0.254 -0.243 -0.224  0.062  0.641 -0.075 -0.188 -0.171 -0.068  0.076 -0.103 -0.114 -0.099 -0.083 -0.067 -0.053 -0.039 -0.025 -0.014 -0.003  0.007  0.016  0.023  0.029  0.034  0.037  0.039  0.04   0.04   0.039  0.037  0.035  0.031  0.027  0.023  0.018  0.013  0.008  0.004 -0.001 -0.006 -0.009 -0.013 -0.016 -0.019 -0.021 -0.022 -0.024 -0.024 -0.023 -0.023 -0.022 -0.02  -0.018 -0.016 -0.013 -0.01  -0.007 -0.004 -0.001  0.002  0.004  0.007  0.01   0.011  0.013  0.015  0.016  0.016  0.016  0.016  0.016  0.015  0.014  0.013  0.011  0.009  0.007  0.005  0.003  0.001 -0.001 -0.003 -0.005 -0.007 -0.008 -0.01  -0.011 -0.011 -0.012 -0.012 -0.012 -0.012 -0.011 -0.01  -0.009 -0.008 -0.007 -0.005 -0.004 -0.002 -0.001  0.001  0.002  0.004  0.005  0.006  0.007  0.008  0.009  0.009  0.009  0.009  0.009  0.009  0.008],BCC,9,0,0,0,0
[ 0.    -0.024 -0.05  -0.074 -0.097 -0.119 -0.141 -0.161 -0.178 -0.195 -0.21  -0.223 -0.213  0.307  0.564  0.382  0.877 -0.141 -0.246 -0.236 -0.235 -0.147  0.589  0.187 -0.178 -0.182 -0.144  0.071 -0.027 -0.115 -0.102 -0.086 -0.071 -0.057 -0.042 -0.029 -0.018 -0.007  0.004  0.012  0.019  0.026  0.031  0.034  0.037  0.038  0.038  0.037  0.036  0.034  0.03   0.027  0.023  0.018  0.014  0.009  0.005  0.    -0.004 -0.008 -0.012 -0.015 -0.017 -0.019 -0.021 -0.022 -0.022 -0.022 -0.022 -0.021 -0.019 -0.017 -0.015 -0.013 -0.01  -0.007 -0.004 -0.002  0.001  0.004  0.006  0.009  0.01   0.012  0.014  0.014  0.015  0.015  0.015  0.015  0.014  0.013  0.012  0.01   0.009  0.007  0.005  0.003  0.001 -0.001 -0.003 -0.005 -0.006 -0.008 -0.009 -0.01  -0.011 -0.011 -0.011 -0.011 -0.011 -0.011 -0.01  -0.009 -0.008 -0.007 -0.005 -0.004 -0.002 -0.001  0.001  0.002  0.003  0.005  0.006  0.007  0.007  0.008  0.008  0.009  0.009  0.009  0.008  0.008],BCC,9,0,0,0,0
[ 0.    -0.022 -0.048 -0.071 -0.09  -0.112 -0.135 -0.151 -0.167 -0.186 -0.2   -0.207 -0.222 -0.208  0.387  0.501  0.29   0.927 -0.097 -0.229 -0.23  -0.23  -0.203  0.179  0.612 -0.101 -0.167 -0.15  -0.104  0.104 -0.039 -0.095 -0.086 -0.072 -0.055 -0.045 -0.034 -0.021 -0.011 -0.004  0.004  0.013  0.017  0.021  0.026  0.029  0.029  0.03   0.031  0.029  0.027  0.025  0.023  0.019  0.016  0.013  0.009  0.005  0.002 -0.002 -0.005 -0.008 -0.01  -0.013 -0.015 -0.015 -0.016 -0.017 -0.017 -0.016 -0.016 -0.015 -0.013 -0.011 -0.01  -0.008 -0.005 -0.004 -0.002  0.001  0.003  0.004  0.006  0.008  0.009  0.01   0.011  0.011  0.011  0.011  0.011  0.01   0.01   0.009  0.008  0.006  0.005  0.004  0.002  0. -0.001 -0.002 -0.004 -0.005 -0.006 -0.007 -0.007 -0.008 -0.008 -0.008 -0.008 -0.008 -0.008 -0.007 -0.006 -0.005 -0.005 -0.004 -0.002 -0.001 -0.001  0.001  0.002  0.003  0.003  0.004  0.005  0.005  0.006  0.006  0.006  0.006  0.006  0.006],BCC,9,0,0,0,0
[ 0.    -0.019 -0.038 -0.057 -0.075 -0.091 -0.109 -0.126 -0.139 -0.151 -0.167 -0.178 -0.183 -0.193 -0.208 -0.189  0.331  0.566 -0.024  0.936  0.276 -0.188 -0.211 -0.204 -0.183 -0.179 -0.063  0.664  0.149 -0.135 -0.137 -0.124 -0.088  0.11   0.013 -0.074 -0.068 -0.06  -0.048 -0.037 -0.032 -0.024 -0.014 -0.008 -0.004  0.002  0.008  0.009  0.012  0.016  0.017  0.017  0.018  0.019  0.017  0.016  0.016  0.014  0.011  0.011  0.009  0.006  0.004  0.003  0.001 -0.002 -0.003 -0.003 -0.006 -0.007 -0.006 -0.007 -0.009 -0.008 -0.007 -0.008 -0.008 -0.006 -0.006 -0.006 -0.005 -0.003 -0.003 -0.002 -0.001  0.     0.     0.002  0.003  0.003  0.003  0.004  0.004  0.004  0.004  0.005  0.004  0.004  0.004  0.004  0.003  0.003  0.003  0.001  0.001  0.001  0.    -0.001 -0.001 -0.001 -0.002 -0.002 -0.002 -0.002 -0.003 -0.003 -0.002 -0.003 -0.003 -0.002 -0.002 -0.002 -0.002 -0.001 -0.001 -0.001 -0.     0.     0.     0.001  0.001  0.001  0.001  0.002],BCC,9,0,0,0,0
[ 0.    -0.018 -0.044 -0.066 -0.082 -0.102 -0.126 -0.141 -0.152 -0.172 -0.189 -0.193 -0.201 -0.219 -0.19   0.469  0.426  0.209  0.968 -0.047 -0.218 -0.214 -0.21  -0.204 -0.116  0.601  0.226 -0.147 -0.15  -0.136 -0.058  0.125 -0.054 -0.083 -0.07  -0.06  -0.05  -0.037 -0.027 -0.02 -0.011 -0.002  0.003  0.008  0.013  0.018  0.019  0.021  0.023  0.023  0.022  0.022  0.021  0.019  0.017  0.015  0.012  0.009  0.007  0.004  0.001 -0.002 -0.003 -0.005 -0.008 -0.009 -0.01  -0.011 -0.012 -0.012 -0.012 -0.012 -0.011 -0.01  -0.009 -0.008 -0.007 -0.005 -0.004 -0.002 -0.001  0.001  0.002  0.003  0.005  0.005  0.006  0.007  0.007  0.007  0.008  0.008  0.007  0.007  0.006  0.006  0.005  0.004  0.003  0.002  0.001  0.    -0.001 -0.002 -0.003 -0.003 -0.004 -0.005 -0.005 -0.005 -0.005 -0.005 -0.005 -0.005 -0.005 -0.004 -0.004 -0.003 -0.003 -0.002 -0.001 -0.001  0.     0.001  0.001  0.002  0.003  0.003  0.003  0.004  0.004  0.004  0.004  0.004],BCC,9,0,0,0,0
[ 0.    -0.022 -0.044 -0.066 -0.087 -0.105 -0.125 -0.144 -0.159 -0.172 -0.19  -0.203 -0.206 -0.214 -0.135  0.642  0.214  0.522  0.751 -0.169 -0.227 -0.217 -0.212 -0.197  0.08   0.672 -0.037 -0.156 -0.142 -0.127  0.045  0.057 -0.084 -0.085 -0.069 -0.053 -0.045 -0.037 -0.022 -0.013 -0.009 -0.     0.009  0.012  0.014  0.021  0.024  0.023  0.024  0.026  0.024  0.021  0.022  0.021  0.016  0.013  0.013  0.009  0.004  0.003  0.001 -0.004 -0.006 -0.006 -0.009 -0.012 -0.012 -0.012 -0.014 -0.014 -0.012 -0.012 -0.013 -0.01  -0.009 -0.008 -0.007 -0.004 -0.003 -0.002  0.     0.002  0.003  0.004  0.006  0.007  0.007  0.008  0.009  0.008  0.008  0.009  0.008  0.007  0.007  0.006  0.005  0.003  0.003  0.002 -0.    -0.001 -0.001 -0.003 -0.004 -0.004 -0.004 -0.006 -0.006 -0.005 -0.006 -0.007 -0.006 -0.005 -0.006 -0.005 -0.004 -0.003 -0.003 -0.002 -0.001 -0.001  0.     0.002  0.002  0.002  0.003  0.004  0.004  0.004  0.005  0.005  0.004  0.005],BCC,9,0,0,0,0
[ 0.    -0.022 -0.041 -0.06  -0.081 -0.1   -0.116 -0.133 -0.151 -0.165 -0.175 -0.187 -0.202 -0.208 -0.203  0.046  0.716  0.012  0.762  0.518 -0.19  -0.223 -0.209 -0.194 -0.189 -0.003  0.691  0.048 -0.147 -0.138 -0.125 -0.039  0.125 -0.056 -0.079 -0.067 -0.056 -0.046 -0.036 -0.027 -0.018 -0.011 -0.005  0.002  0.007  0.011  0.014  0.018  0.019  0.02  0.021  0.021  0.02   0.019  0.018  0.016  0.013  0.011  0.009  0.006  0.004  0.002 -0.    -0.003 -0.004 -0.005 -0.007 -0.009 -0.009 -0.01 -0.01  -0.01  -0.01  -0.01  -0.009 -0.008 -0.007 -0.006 -0.005 -0.003 -0.002 -0.001  0.     0.001  0.002  0.003  0.004  0.005  0.005  0.006  0.006  0.006  0.006  0.006  0.006  0.005  0.005  0.004  0.003  0.003  0.002  0.001  0.    -0.    -0.001 -0.002 -0.002 -0.003 -0.003 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.003 -0.002 -0.002 -0.002 -0.001 -0.001 -0.     0.001  0.001  0.001  0.002  0.002  0.002  0.003  0.003  0.003  0.003],BCC,9,0,0,0,0
[ 0.    -0.024 -0.05  -0.074 -0.096 -0.118 -0.14  -0.16  -0.177 -0.194 -0.209 -0.222 -0.219  0.196  0.646  0.257  0.966 -0.067 -0.24  -0.237 -0.24  -0.191  0.455  0.358 -0.17  -0.185 -0.155  0.024  0.027 -0.113 -0.103 -0.087 -0.073 -0.058 -0.044 -0.032 -0.02  -0.008  0.002  0.01  0.018  0.024  0.029  0.032  0.036  0.037  0.037  0.037  0.035  0.033  0.03   0.027  0.023  0.018  0.014  0.01   0.005  0.001 -0.003 -0.007 -0.011 -0.014 -0.016 -0.019 -0.02  -0.021 -0.022 -0.022 -0.021 -0.02 -0.019 -0.017 -0.015 -0.013 -0.01  -0.007 -0.005 -0.002  0.001  0.003  0.006  0.008  0.01   0.012  0.013  0.014  0.015  0.015  0.015  0.015  0.014  0.013  0.012  0.01   0.009  0.007  0.005  0.003  0.001 -0.001 -0.003 -0.004 -0.006 -0.007 -0.008 -0.009 -0.01  -0.011 -0.011 -0.011 -0.011 -0.01  -0.01  -0.009 -0.008 -0.006 -0.005 -0.004 -0.002 -0.001  0.     0.002  0.003  0.004  0.005  0.006  0.007  0.008  0.008  0.008  0.008  0.008  0.008  0.007],BCC,9,0,0,0,0
