,Materials,Prozessbedingung,homogenized_temperature,homogenized_time,solutionized_temperature,solutionized_time,extrution_temperature,extrution_speed,extrusion_ratio,ECAE_temperature,ECAE_pass,Fe,Cu,Ni,Nd,Zn,Ca,Al,Sn,Mn,Si,Gd,Y,Zr,grain_size,grain_size_error,second_phase,second_phase_error,vpd,grain_size_bin,grain_size_bin_25.7,second_phase_bin_1.14,concentration_string,total_string,second_phase_bin
0,Mg,extruded,440.0,0.5,,,450.0,0.6,63.0,,,0.0015,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.4,76.0,0.0,0.0,0,1,1,0,"0.0015 Fe, 0.0001 Cu, 0.0002 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 440.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 450.0, extrusion speed 0.6, extrusion ratio 63.0, concentrations 0.0015 Fe, 0.0001 Cu, 0.0002 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",0
1,Mg-0.5Nd,extruded,440.0,0.5,,,450.0,0.6,63.0,,,0.0082,0.0019,0.0003,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,9.8,0.5,1.0,60,1,0,0,"0.0082 Fe, 0.0019 Cu, 0.0003 Ni, 0.68 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 440.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 450.0, extrusion speed 0.6, extrusion ratio 63.0, concentrations 0.0082 Fe, 0.0019 Cu, 0.0003 Ni, 0.68 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",0
2,Mg-2Nd,extruded,440.0,0.5,,,450.0,0.6,63.0,,,0.0026,0.0021,0.0011,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,8.0,1.4,0.2,60,1,0,1,"0.0026 Fe, 0.0021 Cu, 0.0011 Ni, 2.39 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 440.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 450.0, extrusion speed 0.6, extrusion ratio 63.0, concentrations 0.0026 Fe, 0.0021 Cu, 0.0011 Ni, 2.39 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
3,Mg-5Nd,extruded,440.0,0.5,,,450.0,0.6,63.0,,,0.016,0.0024,0.0038,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,3.6,10.3,1.0,60,0,0,1,"0.016 Fe, 0.0024 Cu, 0.0038 Ni, 4.2 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 440.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 450.0, extrusion speed 0.6, extrusion ratio 63.0, concentrations 0.016 Fe, 0.0024 Cu, 0.0038 Ni, 4.2 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
10,Mg-2Zn,extruded,315.0,48.0,315.0,5.0,300.0,1.0,12.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,2.72,0.02,0.0,550,1,0,0,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 315.0, homogenized time 48.0, solutionized time 5.0, solutized temperature 315.0, extrusion temperature 300.0, extrusion speed 1.0, extrusion ratio 12.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",0
11,Mg-2Zn-0.1Cu,extruded,435.0,48.0,435.0,5.0,300.0,1.0,12.0,,,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53,2.57,0.44,0.0,680,0,0,0,"0.0 Fe, 0.1 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 435.0, homogenized time 48.0, solutionized time 5.0, solutized temperature 435.0, extrusion temperature 300.0, extrusion speed 1.0, extrusion ratio 12.0, concentrations 0.0 Fe, 0.1 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",0
12,Mg-2Zn-0.3Cu,extruded,435.0,48.0,435.0,5.0,300.0,1.0,12.0,,,0.0,0.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24,2.21,1.12,0.0,680,0,0,0,"0.0 Fe, 0.3 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 435.0, homogenized time 48.0, solutionized time 5.0, solutized temperature 435.0, extrusion temperature 300.0, extrusion speed 1.0, extrusion ratio 12.0, concentrations 0.0 Fe, 0.3 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
13,Mg-2Zn-0.5Cu,extruded,435.0,48.0,435.0,5.0,300.0,1.0,12.0,,,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87,1.55,1.58,0.0,680,0,0,1,"0.0 Fe, 0.5 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 435.0, homogenized time 48.0, solutionized time 5.0, solutized temperature 435.0, extrusion temperature 300.0, extrusion speed 1.0, extrusion ratio 12.0, concentrations 0.0 Fe, 0.5 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
14,Mg-2Zn-1Cu,extruded,435.0,48.0,435.0,5.0,300.0,1.0,12.0,,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,2.01,2.14,0.0,680,0,0,1,"0.0 Fe, 1.0 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 435.0, homogenized time 48.0, solutionized time 5.0, solutized temperature 435.0, extrusion temperature 300.0, extrusion speed 1.0, extrusion ratio 12.0, concentrations 0.0 Fe, 1.0 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
15,Mg-2Zn-3Cu,extruded,435.0,48.0,435.0,5.0,300.0,1.0,12.0,,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,1.06,8.54,0.0,680,0,0,1,"0.0 Fe, 3.0 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 435.0, homogenized time 48.0, solutionized time 5.0, solutized temperature 435.0, extrusion temperature 300.0, extrusion speed 1.0, extrusion ratio 12.0, concentrations 0.0 Fe, 3.0 Cu, 0.0 Ni, 0.0 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
