MeOH:H2O,CAN:F3BDC molar ratio,F3BDC (mmol),CAN (mmol) ,T (°C),HNO3 equivalents,V CAN (mL),V F3BDC (mL),Vfinal (mL),reaction time,yield,PXRD,Success
0/100,1:1,0.409,0.450,60,35,1.8,7.2,9,2 h,42%,mixed UiO-66/MIL-140,NO
0/100,1:1,0.410,0.411,60,24,1.6,6.4,8,1 h,44%,UiO-66,NO
0/100,1:1,0.363,0.365,80,31,1.5,6.2,7.7,1 h,43%,mixed UiO-66/MIL-140,NO
0/100,1:1,0.363,0.365,80,40,1.5,6.2,7.7,2 h,no product,n.a.,NO
90/10,1:1,0.375,0.375,60,0,0.8 (H2O),6.8 (MeOH),7.6,1h,14%,MIL-140 A,NO
90/10,1:1,0.375,0.375,60,0,0.4 (H2O),3.4 (MeOH),3.8,1h,< 5%,MIL-140 A,NO
80/20,1:1,0.375,0.375,60,0,1.5 (H2O),6 (MeOH),7.5,1h,28%,MIL-140 A,YES
80/20,1:1,0.375,0.375,70,0,1.5 (H2O),6 (MeOH),7.5,25 min,24%,MIL-140 A,YES
80/20,1:1,0.375,0.375,70,0,1.5 (H2O),6 (MeOH),7.5,45 min,13%,MIL-140 A,NO
70/30,1:1,0.375,0.375,60,0,2.25 (H2O),5.25 (MeOH),7.5,1h,36%,MIL-140 A,YES
80/20,1:1,0.375,0.375,60,0,1.5 (MeOH:H2O),6 (MeOH:H2O),7.5,1h,26%,MIL-140 A,YES
80/20,1:1,0.75,0.750,60,0,3 (MeOH:H2O),12 (MeOH:H2O),15,1h,29%,MIL-140 A,YES
70/30,1:1,0.375,0.375,60,0,5.25 (MeOH),2.25 (H2O),7.5,1h,39%,MIL-140 A,YES
70/30,1:1,0.375,0.375,60,0,6 (MeOH:H2O),1.5 (MeOH:H2O),7.5,1h,48%,MIL-140 A,YES
60/40,1:1,0.375,0.375,60,0,7 (MeOH:H2O),1.5 (MeOH:H2O),7.5,30 min,46%,MIL-140 A,YES
60/40,1:1,0.375,0.375,60,0,3 (H2O),4.5 (MeOH),7.5,1h,35%,MIL-140 A,YES
60/40,1:1,0.750,0.750,60,0,3 (MeOH:H2O),12 (MeOH:H2O),15,30 min,45%,MIL-140 A,YES
0/100,1.5:1,0.375,0.562,80,36,1.5,6,7.5,1h,no product,n.a.,NO
0/100,1.5:1,0.375,0.562,80,34,1.5,6,7.5,1h,no product,n.a.,NO
0/100,1.5:1,0.375,0.562,80,32,1.5,6,7.5,1h,< 5%,MIL-140 A,NO
0/100,1.5:1,0.363,0.547,120,36,1.5,6.2,7.7,2 h,no product,n.a.,NO
0/100,1.5:1,0.363,0.547,r.t.,0,1.5,6.2,7.7,1 h,58%,UiO-66,NO
0/100,1.5:1,0.363,0.547,120,36,1.5,6.19,7.7,10 min,5%,MIL-140 A,NO
0/100,1.5:1,0.363,0.547,120,36,1.5,6.2,7.7,5 min,11%,mixed UiO-66/MIL-140,NO
0/100,1.5:1,0.363,0.547,r.t.,0,1.5,6.2,7.7,1 h,110%,UiO-66,NO
0/100,1.5:1,0.363,0.547,r.t.,16,1.5,6.2,7.7,1 h,83%,UiO-66,NO
