,SMILES,Free energy of activation (kcal/mol),E_bin,smiles_lenght
0,CC(=O)c2nnc(c1ccc(OC)cc1)nn2,13.18898416194523,0,28
1,c1ccccc1c2nnc(F)nn2,12.936725544011406,0,19
2,c1cc(C(=O)OC)ccc1c2nnc(c1cnccc1)nn2,13.905599439990777,0,35
3,c1cc(OC)ccc1c2nnc(c1ncccc1)nn2,14.32791299699463,0,30
4,c1(NC)ccccc1c2nnc(CC)nn2,16.23114779396917,1,24
5,c1ncncc1c2nnc(c1ccccc1)nn2,13.748722190030158,0,26
6,c1cc(N(=O)=O)ccc1c2nnc(c1ccc(NC(=O)C)cc1)nn2,14.27143718699454,0,44
7,CC(=O)Nc2nnc(F)nn2,12.88213226100656,0,18
8,CNc2nnc(c1ncccn1)nn2,19.481016905039425,1,20
9,NC(=O)c2nncnn2,10.971994864978107,0,14
10,c1c(O)cccc1c2nnc(c1ncncc1)nn2,12.510019424018642,0,29
11,c1cc([O-])ccc1c2nnc(c1ccc(C(F)(F)F)cc1)nn2,18.44186200102348,1,42
12,c1cc(OC)ccc1c2nnc(Br)nn2,15.232153466208526,1,24
13,c1cc(N(=O)=O)ccc1c2nnc(c1cnccc1)nn2,13.584942341015624,0,35
14,c1cc(N)ccc1c2nnc(c1cocc1)nn2,17.294775548923333,1,28
15,n1cncnc1c2nnc(c1ccncc1)nn2,11.251236370057825,0,26
16,FC(F)(F)c2nnc(c1ncccc1)nn2,9.949155195063646,0,26
17,O=N(=O)c2nnc(C#C)nn2,7.5169303109978864,0,20
18,COC(=C)c2nnc(F)nn2,11.905100748047785,0,18
19,c1cc(NC(=O)C)ccc1c2nnc(C#C)nn2,14.695005762066565,1,30
20,Nc2nnc(c1cncnc1)nn2,20.40157260799811,1,19
21,c1sccc1c2nnc(c1ncncc1)nn2,13.118075645052915,0,25
22,COc2nnc(c1cnccc1)nn2,15.955043833952873,1,20
23,C#Cc2nnc(I)nn2,14.181075891008662,0,14
24,c1cc(C(=O)N)ccc1c2nnc(c1cncnc1)nn2,13.529721549012365,0,34
25,c1occc1c2nnc(OC)nn2,16.967843360035364,1,19
26,s1cccc1c2nnc(N(C)C)nn2,22.24331152298524,1,22
27,c1cc(C(=O)N)ccc1c2nnc(c1ccc(N)cc1)nn2,16.285113568046942,1,37
28,c1ncncc1c2nnc(c1cncnc1)nn2,12.803066126920823,0,26
29,CC(=O)c2nnc(SC)nn2,14.40823414900586,1,18
30,c1cc(C(=O)[O-])ccc1c2nnc(c1ccncc1)nn2,13.81963070699381,0,37
31,COC(=O)c2nnc(c1ccc(O)cc1)nn2,12.183087234987992,0,28
32,c1cc(C(=O)[O-])ccc1c2nnc(c1ccc(C(=O)[O-])cc1)nn2,14.683083091096666,1,48
33,c1cc(C(F)(F)F)ccc1c2nnc(N(C)C)nn2,21.72498908900976,1,33
34,CC(=O)Nc2nnc(c1ccc(C(=O)OC)cc1)nn2,13.73930955498258,0,34
35,Ic2nnc(Br)nn2,14.328540506207066,0,13
36,c1ccccc1/C=C/c2nnc(c1ncccn1)nn2,14.337325631970868,0,31
37,CNc2nnc(c1cnccc1)nn2,20.550292241050663,1,20
38,NC(=O)c2nnc(I)nn2,12.022444930965538,0,17
39,Fc2nnc(F)nn2,12.481781519018597,0,12
40,c1cc(C(=O)O)ccc1c2nnc(c1c(O)cccc1)nn2,13.987175609927496,0,37
41,o1cccc1c2nnc(c1ccncc1)nn2,14.186095962995989,0,25
42,c1cc(C(=O)N)ccc1c2nnc(c1ccc(OC)cc1)nn2,15.247213682027825,1,38
43,c1ccncc1c2nnc(c1ccccc1)nn2,14.386898843059724,1,26
44,CC(C)(C)c2nnc(N)nn2,25.94749715001421,1,19
45,CSc2nnc(N(C)C)nn2,22.718335835998687,1,17
46,O=N(=O)c2nnc(c1ccc(O)cc1)nn2,9.648578384037796,0,28
47,CC(=C)c2nnc(c1ccc(O)cc1)nn2,16.028462386981527,1,27
48,o1cccc1c2nnc(N(C)C)nn2,21.400566935972776,1,22
49,Nc2nnc(c1ncccn1)nn2,19.88387768294972,1,19
50,c1cc(N(=O)=O)ccc1c2nnc(C(F)(F)F)nn2,10.491322971121594,0,35
51,c1cc(NC(=O)C)ccc1c2nnc(F)nn2,13.94011243497498,0,28
52,c1cc(C(=O)O)ccc1c2nnc(N)nn2,21.465827872093364,1,27
53,s1cccc1c2nnc(OC)nn2,17.07702992597371,1,19
54,c1cc(NC(=O)C)ccc1c2nnc(c1c(O)cccc1)nn2,14.794779692957338,1,38
55,CC(=O)Nc2nnc(I)nn2,14.848745466963766,1,18
56,c1(NC)ccccc1c2nnc(C)nn2,17.11781801101341,1,23
57,n1cncnc1c2nnc(c1cncnc1)nn2,11.26629658609114,0,26
58,c1cc(C(=O)O)ccc1c2nnc(F)nn2,12.846364247954188,0,27
59,c1ccccc1C#Cc2nnc(c1ccc(O)cc1)nn2,15.670154748030091,1,32
60,FC(F)(F)c2nnc(CC)nn2,12.666269164980848,0,20
61,COC(=C)c2nnc(c1ncccc1)nn2,11.997972080027326,0,25
62,c1ncncc1c2nnc(F)nn2,12.32427675998822,0,19
63,c1cc(C(=O)[O-])ccc1c2nnc(N)nn2,21.96658005404186,1,30
64,NC(=O)c2nnc(C(OC)=C)nn2,9.947900176995477,0,23
65,c1(NC)ccccc1c2nnc(NC)nn2,21.38989928307105,1,24
66,FCc2nnc(CF)nn2,12.717724902993613,0,14
67,C=Cc2nnc(CC)nn2,16.386142516970217,1,15
68,c1cc([O-])ccc1c2nnc(Br)nn2,18.55481362088098,1,26
69,CC(=O)Nc2nnc(C(=O)OC)nn2,11.83042717709364,0,24
70,c1cc(C(=O)N)ccc1c2nnc(c1ncccn1)nn2,12.5018618069679,0,34
71,c1cc(C(F)(F)F)ccc1c2nnc(c1occc1)nn2,14.52683334999178,1,35
72,c1cc(OC)ccc1c2nnc(I)nn2,15.968849032060698,1,23
73,CN(C)c2nnc(Cl)nn2,20.361412032028166,1,17
74,c1sccc1c2nnc(C=C)nn2,16.04415011194192,1,20
75,CC(=O)Nc2nnc(c1cscc1)nn2,14.50989060696322,1,24
76,FC(F)c2nnc(F)nn2,11.018430531003547,0,16
77,c1c(O)cccc1c2nnc(c1cncnc1)nn2,13.7016590150063,0,29
78,c1cc(N(=O)=O)ccc1c2nnc(Br)nn2,13.21659455787552,0,29
79,c1cc(N(=O)=O)ccc1c2nnc(C#C)nn2,12.91288020200027,0,30
80,COC(=C)c2nnc(c1ccc(O)cc1)nn2,13.752487244020651,0,28
81,c1cc(C(F)(F)F)ccc1c2nnc(c1ccccc1)nn2,14.053691564044918,0,36
82,NC(=O)c2nnc(C(F)F)nn2,9.11456822503059,0,21
83,CC(=O)c2nncnn2,11.03537327403211,0,14
84,c1cc(C(=O)[O-])ccc1c2nnc(I)nn2,15.059588491002156,1,30
85,CC(=C)c2nnc(Br)nn2,14.269554660213313,0,18
86,FC(F)c2nnc(c1cc(O)ccc1)nn2,12.234542973000758,0,26
87,CC(=C)c2nnc(C(C)C)nn2,16.262523244032636,1,21
88,c1cc(C(F)(F)F)ccc1c2nnc(C#C)nn2,13.326408633026304,0,31
89,c1ccccc1/C=C/c2nnc(/C=C/c1ccccc1)nn2,17.64555307996512,1,36
90,c1cc(C(=O)[O-])ccc1c2nnc(c1ccc(N)cc1)nn2,16.755745318071483,1,40
91,CNc2nnc(c1ccncc1)nn2,20.361412032028166,1,20
92,c1cc(O)ccc1c2nnc(c1ncncn1)nn2,13.3446063940517,0,29
93,c1(NC)ccccc1c2nnc(C(C)(C)C)nn2,20.285483443005848,1,30
94,NC(=O)c2nnc(C(=O)OC)nn2,7.823154703009479,0,23
95,s1cccc1c2nnc(c1ncccn1)nn2,13.73679951906026,0,25
96,COC(=C)c2nnc(/C=C/c1ccccc1)nn2,14.4138817299916,1,30
97,O=N(=O)c2nnc(C)nn2,9.847498736963606,0,18
98,c1sccc1c2nncnn2,14.369328591032746,1,15
99,C#Cc2nnc(N)nn2,20.93934782096014,1,14
100,c1cc(C(=O)N)ccc1c2nnc(c1cscc1)nn2,14.541266057026682,1,33
101,c1cc(C(=O)N)ccc1c2nnc(Br)nn2,13.823395760841624,0,28
102,c1ccccc1/C=C/c2nnc(CC)nn2,16.91136754996393,1,25
103,CC(=C)c2nnc(C(F)(F)F)nn2,11.67480494505851,0,24
104,COc2nnc(c1cc(O)ccc1)nn2,16.33907934198203,1,23
105,c1cnccc1c2nnc(Cl)nn2,12.878367207016067,0,20
106,o1cccc1c2nnc(CC)nn2,15.685842472990483,1,19
107,c1cc(C(=O)OC)ccc1c2nnc(c1cncnc1)nn2,13.284993038988189,0,35
108,c1ccccc1/C=C/c2nnc(c1ccc(O)cc1)nn2,16.655343877968274,1,34
109,o1cccc1c2nnc(C(=O)OC)nn2,11.825407104963634,0,24
110,c1cc([O-])ccc1c2nnc(N(C)C)nn2,24.3931573569792,1,29
111,C=Cc2nnc(c1c(O)cccc1)nn2,15.301179456034252,1,24
112,o1cccc1c2nnc(C(F)F)nn2,12.68195689001258,0,22
113,c1cc(N(=O)=O)ccc1c2nnc(c1ccc(O)cc1)nn2,14.804192328004913,1,38
114,c1cc(C(=O)N)ccc1c2nnc(c1ccc(C(F)(F)F)cc1)nn2,13.561724508002904,0,44
115,COC(=C)c2nnc(SC)nn2,15.306199528021578,1,19
116,FC(F)c2nnc(c1ncccc1)nn2,11.04729594500201,0,23
117,c1ccccc1C#Cc2nnc(c1c(O)cccc1)nn2,14.50236049905357,1,32
118,c1ccccc1/C=C/c2nnc(C#C)nn2,15.668272220963509,1,26
119,CN(C)c2nnc(c1ncccc1)nn2,20.318113910994803,1,23
120,FC(F)c2nnc(c1ccccc1)nn2,12.358162246045348,0,23
121,O=N(=O)c2nnc(c1cnccc1)nn2,8.231663061905508,0,25
122,C#Cc2nncnn2,12.88526980599864,0,11
123,c1occc1c2nnc(c1cncnc1)nn2,14.408861658075612,1,25
124,c1sccc1c2nnc(c1cscc1)nn2,15.523317642044123,1,24
125,CSc2nnc(c1ncccn1)nn2,15.21019065097862,1,20
126,CN(C)c2nnc(c1ccncc1)nn2,21.186586367013646,1,23
127,O=N(=O)c2nnc(Br)nn2,7.708320555942709,0,19
128,Nc2nnc(c1ccccc1)nn2,21.205411637037457,1,19
129,CSc2nnc(Cl)nn2,15.630621680987224,1,14
130,c1cc(C(=O)OC)ccc1c2nnc(c1ccccc1)nn2,14.386271333989969,1,35
131,COC(=C)c2nnc(C#Cc1ccccc1)nn2,13.386021988089812,0,28
132,c1sccc1c2nnc(C(F)F)nn2,12.735922663947669,0,22
133,c1c(O)cccc1c2nnc(c1ncccc1)nn2,13.104897956014849,0,29
134,c1cc(C(=O)OC)ccc1c2nnc(c1ncccn1)nn2,12.678191836022084,0,35
135,c1(NC)ccccc1c2nnc(c1ccc(C(=O)O)cc1)nn2,15.077158742957796,1,38
136,O=N(=O)c2nnc(C(OC)=C)nn2,7.112814514948088,0,24
137,CC(=O)Nc2nnc(c1cnccc1)nn2,13.91124702097652,0,25
138,C=Cc2nnc(c1ccc(O)cc1)nn2,16.361669666067673,1,24
139,c1cc(C(=O)O)ccc1c2nnc(/C=C/c1ccccc1)nn2,15.719100450049195,1,39
140,C#Cc2nnc(c1ncccc1)nn2,12.76165053295405,0,21
141,c1cc(C(=O)N)ccc1c2nnc(N)nn2,21.50222339400148,1,27
142,c1cc(C(=O)[O-])ccc1c2nnc(C(F)(F)F)nn2,11.635899386942718,0,37
