,modeltype,target,train_size,trues,preds,model_params,accuracy,f1_micro,f1_macro,kappa,seed
0,RandomForestClassifier,['E_bin'],10,"[0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1
 1 1 0 0 1 0 0 0 1 1 1 1 1]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 14, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 58, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.44,0.44,0.3055555555555556,0.0,1
1,RandomForestClassifier,['E_bin'],50,"[0 1 1 1 0 1 0 0 0 1 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1
 1 1 0 0 1 0 0 0 1 1 1 1 1]","[0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0
 0 1 0 0 0 0 0 0 0 1 1 1 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 8, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 99, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.74,0.74,0.7312939231087227,0.47325769854132904,1
2,RandomForestClassifier,['E_bin'],100,"[0 1 1 0 1 1 1 0 1 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0
 1 1 1 1 0 0 1 0 0 1 1 1 1]","[1 1 0 0 1 1 1 0 1 1 0 0 1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0
 1 1 1 1 0 0 1 0 1 1 1 1 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 79, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.74,0.74,0.7398959583833533,0.4816586921850079,1
3,RandomForestClassifier,['E_bin'],250,"[0 1 0 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0
 0 0 0 0 1 1 1 0 0 0 1 1 1]","[0 1 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0 1 0 0 1
 0 0 0 0 1 1 1 1 1 0 1 1 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 197, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.78,0.78,0.7799119647859143,0.5614035087719298,1
4,RandomForestClassifier,['E_bin'],500,"[0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0
 1 0 0 1 1 0 0 0 0 1 0 1 1]","[1 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0
 1 1 0 1 1 0 1 1 0 1 0 1 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 14, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 257, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.84,0.8399999999999999,0.8389694041867954,0.6784565916398714,1
5,XGBClassifier,['E_bin'],10,"[0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1
 1 1 0 0 1 0 0 0 1 1 1 1 1]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8590263867713772, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 4.0919294236470497e-07, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.010141976779118128, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 5, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 300, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.011652989886076359, 'reg_lambda': 1.101369406009323e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8612115300477312, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.44,0.44,0.3055555555555556,0.0,1
6,XGBClassifier,['E_bin'],50,"[0 1 1 1 0 1 0 0 0 1 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1
 1 1 0 0 1 0 0 0 1 1 1 1 1]","[0 1 1 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0
 0 1 1 0 1 0 0 0 1 1 1 1 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8404685600034751, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.276520672913898, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.03287854159155706, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 11, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 285, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.0012638927294908572, 'reg_lambda': 2.6715051781324464e-06, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8761501512807066, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.82,0.82,0.8199279711884755,0.64,1
7,XGBClassifier,['E_bin'],100,"[0 1 1 0 1 1 1 0 1 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0
 1 1 1 1 0 0 1 0 0 1 1 1 1]","[0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0
 1 0 0 1 1 0 1 0 0 1 1 1 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.6444089442205556, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 1.3213322933478778e-08, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.07289654916417547, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 4, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 274, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.0027111314530049316, 'reg_lambda': 3.1686733937148904e-05, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.7664916353960471, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.84,0.8399999999999999,0.8389694041867954,0.6784565916398714,1
8,XGBClassifier,['E_bin'],250,"[0 1 0 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0
 0 0 0 0 1 1 1 0 0 0 1 1 1]","[0 1 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 1 0 0 1 0 0 0
 0 0 0 0 1 1 1 1 0 0 1 1 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7102095604415903, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 3.6834958701470126e-05, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.17431826143013343, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 69, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 2.3568046250069932e-07, 'reg_lambda': 0.15699659495476448, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.7232484305617071, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.86,0.8599999999999999,0.8599439775910365,0.72,1
9,XGBClassifier,['E_bin'],500,"[0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0
 1 0 0 1 1 0 0 0 0 1 0 1 1]","[1 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0
 1 1 0 1 1 0 1 0 0 1 0 1 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.655088626097903, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 4.313856163661152e-06, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.17468128012924491, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 7, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 51, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 7.485395743485161e-06, 'reg_lambda': 0.17713558943484678, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.7839090280776597, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.84,0.8399999999999999,0.8389694041867954,0.6784565916398714,1
