,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cifname,HER_bool,OER_bool,VIS_bool,four_classes,inorg_BB,inorg_BB_top,hased_linker,HOV_bool,HOV_code,elements_linkers,elements_nodes,elemetns_all
0,[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-].[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24 MOFid-v1.hxl.cat0;hxl_v1-MOF901_1-L8_opt,Ti.GPNNOCMCNFXRAO.MOFkey-v1.hxl,['[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24'],['[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-]'],[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-].[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24,hxl,hxl_v1-MOF901_1-L8_opt,0,0,0,3,Ti,Ti and hxl,GPNNOCMCNFXRAO,0,0,"['O', 'C', 'N']","['O', 'Ti']","['O', 'C', 'N', 'Ti']"
1,Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-].[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24 MOFid-v1.hxl.cat0;hxl_v1-MOF901_1-link25opt,Ti.NMIBMOGMZWZBEY.MOFkey-v1.hxl,['[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24'],['Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-]'],Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-].[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24,hxl,hxl_v1-MOF901_1-link25opt,1,1,1,0,Ti,Ti and hxl,NMIBMOGMZWZBEY,111,1,"['O', 'C', 'Oc']","['O', 'Ti']","['O', 'C', 'Oc', 'Ti']"
2,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1sc(c(c1)C)c1sc(c2c1nccn2)c1sc(cc1C)C(=O)[O-].[O-]C(=O)c1sc(cc1C)c1sc(c2c1nccn2)c1cc(c(s1)C(=O)[O-])C MOFid-v1.ERROR.cat0;Ti8Zr2COO12_link24opt_clean_maestro2,TiZr.SJFHFFGLOPKJGJ.ZEOFITWTNNBMQJ.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],"['[O-]C(=O)c1sc(c(c1)C)c1sc(c2c1nccn2)c1sc(cc1C)C(=O)[O-]', '[O-]C(=O)c1sc(cc1C)c1sc(c2c1nccn2)c1cc(c(s1)C(=O)[O-])C']",O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1sc(c(c1)C)c1sc(c2c1nccn2)c1sc(cc1C)C(=O)[O-].[O-]C(=O)c1sc(cc1C)c1sc(c2c1nccn2)c1cc(c(s1)C(=O)[O-])C,ERROR,Ti8Zr2COO12_link24opt_clean_maestro2,1,0,1,1,TiZr,TiZr and ERROR,SJFHFFGLOPKJGJ,101,2,"['O', 'C']","['O', 'Zr', 'Ti']","['O', 'C', 'Ti', 'Zr']"
3,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-] MOFid-v1.ERROR.cat0;Ti8Zr2COO12_kink25opt,TiZr.NMIBMOGMZWZBEY.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],['Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-]'],O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-],ERROR,Ti8Zr2COO12_kink25opt,1,1,1,0,TiZr,TiZr and ERROR,NMIBMOGMZWZBEY,111,1,"['O', 'C', 'Oc']","['O', 'Zr', 'Ti']","['C', 'Zr', 'O', 'Oc', 'Ti']"
4,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1cc2n(c1C)[B](F)(F)n1c([C]2c2ccccc2)cc(c1C)C(=O)[O-] MOFid-v1.ERROR.cat0;Ti8Zr2COO12_link15opt,TiZr.BQYNSOHOKMNSBV.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],['[O-]C(=O)c1cc2n(c1C)[B](F)(F)n1c([C]2c2ccccc2)cc(c1C)C(=O)[O-]'],O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1cc2n(c1C)[B](F)(F)n1c([C]2c2ccccc2)cc(c1C)C(=O)[O-],ERROR,Ti8Zr2COO12_link15opt,1,1,1,0,TiZr,TiZr and ERROR,BQYNSOHOKMNSBV,111,1,"['O', 'C', 'B', 'F']","['O', 'Zr', 'Ti']","['C', 'F', 'Zr', 'O', 'Ti', 'B']"
5,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-] MOFid-v1.ERROR.cat0;Ti8Zr2COO12_link8opt,TiZr.GPNNOCMCNFXRAO.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],['[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-]'],O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-],ERROR,Ti8Zr2COO12_link8opt,1,1,1,0,TiZr,TiZr and ERROR,GPNNOCMCNFXRAO,111,1,"['O', 'C', 'N']","['O', 'Zr', 'Ti']","['C', 'N', 'Zr', 'O', 'Ti']"
6,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1cc2c(s1)sc(c2)C(=O)[O-] MOFid-v1.ERROR.cat0;Ti8Zr2COO12_link13opt,TiZr.ISQJBPFNAXXTCB.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],['[O-]C(=O)c1cc2c(s1)sc(c2)C(=O)[O-]'],O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1cc2c(s1)sc(c2)C(=O)[O-],ERROR,Ti8Zr2COO12_link13opt,1,1,1,0,TiZr,TiZr and ERROR,ISQJBPFNAXXTCB,111,1,"['O', 'C']","['O', 'Zr', 'Ti']","['O', 'C', 'Ti', 'Zr']"
7,Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.N1=NC=C([CH]1)c1sc(c2c1nccn2)[C]1C=NN=C1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1 MOFid-v1.lig.cat0;lig_v1-AHAGUL_1-linear2_pyrazolate_opt,Au.GYCRMPDCBTWMOR.MOFkey-v1.lig,['Cl[Au]Cl'],"['N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)[C]1C=NN=C1', '[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1']",Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.N1=NC=C([CH]1)c1sc(c2c1nccn2)[C]1C=NN=C1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1,lig,lig_v1-AHAGUL_1-linear2_pyrazolate_opt,1,1,1,0,Au,Au and lig,GYCRMPDCBTWMOR,111,1,"['C', 'N']","['Au', 'Cl']","['C', 'N', 'Au', 'Cl']"
8,Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=C[C](C=N1)c1sc(c2c1nccn2)[C]1C=NN=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1 MOFid-v1.eta.cat0;eta_v1-AHAGUL_1-linear2_pyrazolate_opt,Au.GYCRMPDCBTWMOR.MOFkey-v1.eta,['Cl[Au]Cl'],"['N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1', 'N1=C[C](C=N1)c1sc(c2c1nccn2)[C]1C=NN=C1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1', '[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=CN=N[CH]1', '[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1']",Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=C[C](C=N1)c1sc(c2c1nccn2)[C]1C=NN=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1,eta,eta_v1-AHAGUL_1-linear2_pyrazolate_opt,1,1,1,0,Au,Au and eta,GYCRMPDCBTWMOR,111,1,"['C', 'N']","['Au', 'Cl']","['C', 'N', 'Au', 'Cl']"
9,Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1 MOFid-v1.hcb.cat0;hcb_v1-AHAGUL_1-linear2_pyrazolate_opt,Au.GYCRMPDCBTWMOR.MOFkey-v1.hcb,['Cl[Au]Cl'],"['N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1', '[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1']",Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1,hcb,hcb_v1-AHAGUL_1-linear2_pyrazolate_opt,1,1,1,0,Au,Au and hcb,GYCRMPDCBTWMOR,111,1,"['C', 'N']","['Au', 'Cl']","['C', 'N', 'Au', 'Cl']"
10,Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1 MOFid-v1.bto.cat0;bto_v1-AHAGUL_1-linear2_pyrazolate_opt,Au.GYCRMPDCBTWMOR.MOFkey-v1.bto,['Cl[Au]Cl'],"['N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1']",Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1,bto,bto_v1-AHAGUL_1-linear2_pyrazolate_opt,0,1,1,2,Au,Au and bto,GYCRMPDCBTWMOR,11,3,"['C', 'N']","['Au', 'Cl']","['C', 'N', 'Au', 'Cl']"
11,N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=C[C](C=N1)c1sc(c2c1nccn2)[C]1C=NN=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.N1=NC=C([CH]1)c1sc(c2c1nccn2)[C]1C=NN=C1.[Cu].[Cu][Cu].[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1 MOFid-v1.acs-g.cat0;acsg_v1-AHAGUL_Cu1_1-linear2_pyrazolate_opt,Cu.GYCRMPDCBTWMOR.MOFkey-v1.acs-g,"['[Cu]', '[Cu][Cu]']","['N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1', 'N1=C[C](C=N1)c1sc(c2c1nccn2)[C]1C=NN=C1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)[C]1C=NN=C1', '[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1']",N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=C[C](C=N1)c1sc(c2c1nccn2)[C]1C=NN=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.N1=NC=C([CH]1)c1sc(c2c1nccn2)[C]1C=NN=C1.[Cu].[Cu][Cu].[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1,acs-g,acsg_v1-AHAGUL_Cu1_1-linear2_pyrazolate_opt,1,0,1,1,Cu,Cu and acs-g,GYCRMPDCBTWMOR,101,2,"['C', 'N']",['Cu'],"['C', 'N', 'Cu']"
12,N1=NC=C([CH]1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=CN=N[CH]1.S1[C](c2ccc(s2)[C]2C=NN=C2)c2c([C]1c1ccc(s1)[C]1C=NN=C1)nsn2.[Cu].[N]1N=CC(=C1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=C[N]N=C1.s1nc2c(n1)[C](S[C]2c1ccc(s1)[C]1C=NN=C1)c1ccc(s1)C1=C[N]N=C1 MOFid-v1.cdt.cat0;cdt_v1-AHAGUL_Cu1_1-linear3_pyrazolate_opt,Cu.ZYNBEDKJAOVTCW.MOFkey-v1.cdt,['[Cu]'],"['N1=NC=C([CH]1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=CN=N[CH]1', 'S1[C](c2ccc(s2)[C]2C=NN=C2)c2c([C]1c1ccc(s1)[C]1C=NN=C1)nsn2', '[N]1N=CC(=C1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=C[N]N=C1', 's1nc2c(n1)[C](S[C]2c1ccc(s1)[C]1C=NN=C1)c1ccc(s1)C1=C[N]N=C1']",N1=NC=C([CH]1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=CN=N[CH]1.S1[C](c2ccc(s2)[C]2C=NN=C2)c2c([C]1c1ccc(s1)[C]1C=NN=C1)nsn2.[Cu].[N]1N=CC(=C1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=C[N]N=C1.s1nc2c(n1)[C](S[C]2c1ccc(s1)[C]1C=NN=C1)c1ccc(s1)C1=C[N]N=C1,cdt,cdt_v1-AHAGUL_Cu1_1-linear3_pyrazolate_opt,1,0,1,1,Cu,Cu and cdt,ZYNBEDKJAOVTCW,101,2,"['C', 'N', 'S']",['Cu'],"['C', 'N', 'Cu', 'S']"
13,N#Cc1c(NC2=CN=N[CH]2)oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)NC1=CN=N[CH]1.N#Cc1c(N[C]2C=NN=C2)oc2c1c(c1cccs1)c1c(c2c2cccs2)c(c(o1)NC1=CN=N[CH]1)C#N.N#Cc1c(N[C]2C=NN=C2)oc2c1c(c1cccs1)c1c(c2c2cccs2)c(c(o1)NC1=C[N]N=C1)C#N.[Cu] MOFid-v1.twt.cat0;twt_v1-AHAGUL_Cu1_1-2,Cu.QOMDAXVYFQQUTB.MOFkey-v1.twt,['[Cu]'],"['N#Cc1c(NC2=CN=N[CH]2)oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)NC1=CN=N[CH]1', 'N#Cc1c(N[C]2C=NN=C2)oc2c1c(c1cccs1)c1c(c2c2cccs2)c(c(o1)NC1=CN=N[CH]1)C#N', 'N#Cc1c(N[C]2C=NN=C2)oc2c1c(c1cccs1)c1c(c2c2cccs2)c(c(o1)NC1=C[N]N=C1)C#N']",N#Cc1c(NC2=CN=N[CH]2)oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)NC1=CN=N[CH]1.N#Cc1c(N[C]2C=NN=C2)oc2c1c(c1cccs1)c1c(c2c2cccs2)c(c(o1)NC1=CN=N[CH]1)C#N.N#Cc1c(N[C]2C=NN=C2)oc2c1c(c1cccs1)c1c(c2c2cccs2)c(c(o1)NC1=C[N]N=C1)C#N.[Cu],twt,twt_v1-AHAGUL_Cu1_1-2,0,0,0,3,Cu,Cu and twt,QOMDAXVYFQQUTB,0,0,"['C', 'N', 'Cc']",['Cu'],"['C', 'N', 'Cc', 'Cu']"
14,N1=NC=C([CH]1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=CN=N[CH]1.[Ag].[Ag][Ag].s1nc2c(n1)[C](S[C]2c1ccc(s1)[C]1C=NN=C1)c1ccc(s1)C1=C[N]N=C1 MOFid-v1.twt.cat0;twt_v1-AHAGUL_Ag1_1-linear3_pyrazolate_opt,Ag.ZYNBEDKJAOVTCW.MOFkey-v1.twt,"['[Ag]', '[Ag][Ag]']","['N1=NC=C([CH]1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=CN=N[CH]1', 's1nc2c(n1)[C](S[C]2c1ccc(s1)[C]1C=NN=C1)c1ccc(s1)C1=C[N]N=C1']",N1=NC=C([CH]1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=CN=N[CH]1.[Ag].[Ag][Ag].s1nc2c(n1)[C](S[C]2c1ccc(s1)[C]1C=NN=C1)c1ccc(s1)C1=C[N]N=C1,twt,twt_v1-AHAGUL_Ag1_1-linear3_pyrazolate_opt,1,0,1,1,Ag,Ag and twt,ZYNBEDKJAOVTCW,101,2,"['C', 'N', 'S']",['Ag'],"['C', 'N', 'Ag', 'S']"
15,N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=CN=N[CH]1)C1=CN=N[CH]1.N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=C[N]N=C1)C1=C[N]N=C1.N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=C[N]N=C1)[C]1C=NN=C1.[Au] MOFid-v1.twt.cat0;twt_v1-AHAGUL_Au1_1-1,Au.LFGNINJHSOQGFN.MOFkey-v1.twt,['[Au]'],"['N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=CN=N[CH]1)C1=CN=N[CH]1', 'N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=C[N]N=C1)C1=C[N]N=C1', 'N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=C[N]N=C1)[C]1C=NN=C1']",N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=CN=N[CH]1)C1=CN=N[CH]1.N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=C[N]N=C1)C1=C[N]N=C1.N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=C[N]N=C1)[C]1C=NN=C1.[Au],twt,twt_v1-AHAGUL_Au1_1-1,0,0,0,3,Au,Au and twt,LFGNINJHSOQGFN,0,0,"['C', 'N', 'Cc']",['Au'],"['C', 'N', 'Cc', 'Au']"
16,N1=NC=C([CH]1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=CN=N[CH]1.[Cu].[Cu][Cu].s1nc2c(n1)[C](S[C]2c1ccc(s1)[C]1C=NN=C1)c1ccc(s1)C1=C[N]N=C1 MOFid-v1.twt.cat0;twt_v1-AHAGUL_Cu1_1-linear3_pyrazolate_opt,Cu.ZYNBEDKJAOVTCW.MOFkey-v1.twt,"['[Cu]', '[Cu][Cu]']","['N1=NC=C([CH]1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=CN=N[CH]1', 's1nc2c(n1)[C](S[C]2c1ccc(s1)[C]1C=NN=C1)c1ccc(s1)C1=C[N]N=C1']",N1=NC=C([CH]1)c1ccc(s1)[C]1S[C](c2c1nsn2)c1ccc(s1)C1=CN=N[CH]1.[Cu].[Cu][Cu].s1nc2c(n1)[C](S[C]2c1ccc(s1)[C]1C=NN=C1)c1ccc(s1)C1=C[N]N=C1,twt,twt_v1-AHAGUL_Cu1_1-linear3_pyrazolate_opt,1,0,1,1,Cu,Cu and twt,ZYNBEDKJAOVTCW,101,2,"['C', 'N', 'S']",['Cu'],"['C', 'N', 'Cu', 'S']"
17,N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=CN=N[CH]1)C1=CN=N[CH]1.N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=C[N]N=C1)[C]1C=NN=C1.[Ag] MOFid-v1.twt.cat0;twt_v1-AHAGUL_Ag1_1-1,Ag.LFGNINJHSOQGFN.MOFkey-v1.twt,['[Ag]'],"['N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=CN=N[CH]1)C1=CN=N[CH]1', 'N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=C[N]N=C1)[C]1C=NN=C1']",N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=CN=N[CH]1)C1=CN=N[CH]1.N#Cc1c(oc2c1c(c1cccs1)c1oc(c(c1c2c1cccs1)C#N)C1=C[N]N=C1)[C]1C=NN=C1.[Ag],twt,twt_v1-AHAGUL_Ag1_1-1,0,0,0,3,Ag,Ag and twt,LFGNINJHSOQGFN,0,0,"['C', 'N', 'Cc']",['Ag'],"['C', 'N', 'Cc', 'Ag']"
