,Unnamed: 0.1,Unnamed: 0,mofid,mofkey,smiles_nodes,smiles_linkers,smiles,topology,cifname,HER_bool,OER_bool,VIS_bool,four_classes,inorg_BB,inorg_BB_top,hased_linker,HOV_bool,HOV_code,elements_linkers,elements_nodes,elemetns_all
0,0,0,[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-].[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24 MOFid-v1.hxl.cat0;hxl_v1-MOF901_1-L8_opt,Ti.GPNNOCMCNFXRAO.MOFkey-v1.hxl,['[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24'],['[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-]'],[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-].[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24,hxl,hxl_v1-MOF901_1-L8_opt,0,0,0,3,Ti,Ti and hxl,GPNNOCMCNFXRAO,0,0,"['N', 'C', 'O']","['Ti', 'O']","['Ti', 'C', 'N', 'O']"
1,1,1,Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-].[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24 MOFid-v1.hxl.cat0;hxl_v1-MOF901_1-link25opt,Ti.NMIBMOGMZWZBEY.MOFkey-v1.hxl,['[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24'],['Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-]'],Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-].[Ti]12[O]3[Ti]4[O]2[Ti]2[O]4[Ti]4[O]5[Ti]3[O]1[Ti]5[O]24,hxl,hxl_v1-MOF901_1-link25opt,1,1,1,0,Ti,Ti and hxl,NMIBMOGMZWZBEY,111,1,"['Oc', 'C', 'O']","['Ti', 'O']","['Ti', 'Oc', 'C', 'O']"
2,2,2,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1sc(c(c1)C)c1sc(c2c1nccn2)c1sc(cc1C)C(=O)[O-].[O-]C(=O)c1sc(cc1C)c1sc(c2c1nccn2)c1cc(c(s1)C(=O)[O-])C MOFid-v1.ERROR.cat0;Ti8Zr2COO12_link24opt_clean_maestro2,TiZr.SJFHFFGLOPKJGJ.ZEOFITWTNNBMQJ.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],"['[O-]C(=O)c1sc(c(c1)C)c1sc(c2c1nccn2)c1sc(cc1C)C(=O)[O-]', '[O-]C(=O)c1sc(cc1C)c1sc(c2c1nccn2)c1cc(c(s1)C(=O)[O-])C']",O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1sc(c(c1)C)c1sc(c2c1nccn2)c1sc(cc1C)C(=O)[O-].[O-]C(=O)c1sc(cc1C)c1sc(c2c1nccn2)c1cc(c(s1)C(=O)[O-])C,ERROR,Ti8Zr2COO12_link24opt_clean_maestro2,1,0,1,1,TiZr,TiZr and ERROR,SJFHFFGLOPKJGJ,101,2,"['C', 'O']","['Ti', 'O', 'Zr']","['Ti', 'C', 'O', 'Zr']"
3,3,3,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-] MOFid-v1.ERROR.cat0;Ti8Zr2COO12_kink25opt,TiZr.NMIBMOGMZWZBEY.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],['Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-]'],O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.Oc1c(c2ccc(s2)C(=O)[O-])c2nc3ccccc3nc2c(c1O)c1ccc(s1)C(=O)[O-],ERROR,Ti8Zr2COO12_kink25opt,1,1,1,0,TiZr,TiZr and ERROR,NMIBMOGMZWZBEY,111,1,"['Oc', 'C', 'O']","['Ti', 'O', 'Zr']","['Oc', 'Zr', 'Ti', 'C', 'O']"
4,4,4,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1cc2n(c1C)[B](F)(F)n1c([C]2c2ccccc2)cc(c1C)C(=O)[O-] MOFid-v1.ERROR.cat0;Ti8Zr2COO12_link15opt,TiZr.BQYNSOHOKMNSBV.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],['[O-]C(=O)c1cc2n(c1C)[B](F)(F)n1c([C]2c2ccccc2)cc(c1C)C(=O)[O-]'],O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1cc2n(c1C)[B](F)(F)n1c([C]2c2ccccc2)cc(c1C)C(=O)[O-],ERROR,Ti8Zr2COO12_link15opt,1,1,1,0,TiZr,TiZr and ERROR,BQYNSOHOKMNSBV,111,1,"['B', 'C', 'O', 'F']","['Ti', 'O', 'Zr']","['Zr', 'B', 'Ti', 'C', 'O', 'F']"
5,5,5,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-] MOFid-v1.ERROR.cat0;Ti8Zr2COO12_link8opt,TiZr.GPNNOCMCNFXRAO.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],['[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-]'],O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-],ERROR,Ti8Zr2COO12_link8opt,1,1,1,0,TiZr,TiZr and ERROR,GPNNOCMCNFXRAO,111,1,"['N', 'C', 'O']","['Ti', 'O', 'Zr']","['Zr', 'Ti', 'N', 'C', 'O']"
6,6,6,O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1cc2c(s1)sc(c2)C(=O)[O-] MOFid-v1.ERROR.cat0;Ti8Zr2COO12_link13opt,TiZr.ISQJBPFNAXXTCB.MOFkey-v1.ERROR,['O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52'],['[O-]C(=O)c1cc2c(s1)sc(c2)C(=O)[O-]'],O1[Ti]2[O]3[Ti]4O[Ti]5[O]6[Ti]1[O]1[Ti]7O[Ti]8[O]2[Zr]23[O]4[Ti]([O]82)O[Ti]2[O]7[Zr]61[O]52.[O-]C(=O)c1cc2c(s1)sc(c2)C(=O)[O-],ERROR,Ti8Zr2COO12_link13opt,1,1,1,0,TiZr,TiZr and ERROR,ISQJBPFNAXXTCB,111,1,"['C', 'O']","['Ti', 'O', 'Zr']","['Ti', 'C', 'O', 'Zr']"
7,7,8,Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.N1=NC=C([CH]1)c1sc(c2c1nccn2)[C]1C=NN=C1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1 MOFid-v1.lig.cat0;lig_v1-AHAGUL_1-linear2_pyrazolate_opt,Au.GYCRMPDCBTWMOR.MOFkey-v1.lig,['Cl[Au]Cl'],"['N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)[C]1C=NN=C1', '[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1']",Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.N1=NC=C([CH]1)c1sc(c2c1nccn2)[C]1C=NN=C1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1,lig,lig_v1-AHAGUL_1-linear2_pyrazolate_opt,1,1,1,0,Au,Au and lig,GYCRMPDCBTWMOR,111,1,"['C', 'N']","['Au', 'Cl']","['Au', 'C', 'N', 'Cl']"
8,8,9,Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=C[C](C=N1)c1sc(c2c1nccn2)[C]1C=NN=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1 MOFid-v1.eta.cat0;eta_v1-AHAGUL_1-linear2_pyrazolate_opt,Au.GYCRMPDCBTWMOR.MOFkey-v1.eta,['Cl[Au]Cl'],"['N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1', 'N1=C[C](C=N1)c1sc(c2c1nccn2)[C]1C=NN=C1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1', '[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=CN=N[CH]1', '[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1']",Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=C[C](C=N1)c1sc(c2c1nccn2)[C]1C=NN=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1,eta,eta_v1-AHAGUL_1-linear2_pyrazolate_opt,1,1,1,0,Au,Au and eta,GYCRMPDCBTWMOR,111,1,"['C', 'N']","['Au', 'Cl']","['Au', 'C', 'N', 'Cl']"
9,9,10,Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1 MOFid-v1.hcb.cat0;hcb_v1-AHAGUL_1-linear2_pyrazolate_opt,Au.GYCRMPDCBTWMOR.MOFkey-v1.hcb,['Cl[Au]Cl'],"['N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1', 'N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1', '[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1']",Cl[Au]Cl.N1=C[C](C=N1)c1sc(c2c1nccn2)C1=C[N]N=C1.N1=NC=C([CH]1)c1sc(c2c1nccn2)C1=CN=N[CH]1.[N]1N=CC(=C1)c1sc(c2c1nccn2)C1=C[N]N=C1,hcb,hcb_v1-AHAGUL_1-linear2_pyrazolate_opt,1,1,1,0,Au,Au and hcb,GYCRMPDCBTWMOR,111,1,"['C', 'N']","['Au', 'Cl']","['Au', 'C', 'N', 'Cl']"
