Entry,SM-SMILES,catalyst,Temperature,Solvent,Product-SMILES,Yield ,Comment
1,CC1(C)C=C1C(O)C2=CC=CC=C2,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=CC=C1)C(C(C)=C)=C,50%,
2,CC1(C)C=C1C(C2=CC=CC=C2)(C)O,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=CC=C1)(C)C(C(C)=C)=C,<5%,
3,CC1(C)C=C1C(O)(C)C,PtBr2,70 °C,"1,2-DCE",CC(C(C(O)(C)C)=C)=C,32%,
4,CC1(C)C=C1C(CCCCC)O,PtBr2,70 °C,"1,2-DCE",OC(CCCCC)C(C(C)=C)=C,37%,
5,CC1(C)C=C1C(C2=CC=C(OC)C=C2)O,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=C(OC)C=C1)C(C(C)=C)=C,50%,
6,CC1(C)C=C1C(C2=CC=C(Br)C=C2)O,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=C(Br)C=C1)C(C(C)=C)=C,62%,
7,CC1(C)C=C1C2(O)CCC3(OCCO3)CC2,PtBr2,70 °C,"1,2-DCE",OC1(CCC2(OCCO2)CC1)C(C(C)=C)=C,65%,
8,CC1(C)C=C1C2(O)CCN(C(OC(C)(C)C)=O)CC2,PtBr2,70 °C,"1,2-DCE",O=C(OC(C)(C)C)N(CC1)CCC1(O)C(C(C)=C)=C,68%,
9,CC1(C)C(C)=C1C(O)C2=CC=CC=C2,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=CC=C1)/C(C(C)=C)=C\C,<5%,
10,CC1(C(OCC)=O)C=C1C2=CC=CC=C2,PtBr2,70 °C,"1,2-DCE",C=C(C1=CC=CC=C1)C(C(OCC)=O)=C,<5%,
11,CC1(C)C=C1C(O)(C2CC2)C,PtBr2,70 °C,"1,2-DCE",CC(O)(C1CC1)C(C(C)=C)=C,51%,
12,CC1(C)C=C1C(O)(CCC2=CC=CC=C2)C,PtBr2,70 °C,"1,2-DCE",CC1(C)C=C1C(O)(CCC2=CC=CC=C2)C,68%,
13,CC1(C)C=C1C2(O)CCOCC2,PtBr2,70 °C,"1,2-DCE",OC1(CCOCC1)C(C(C)=C)=C,78%,
14,OC(C1=CC=C(Br)C=C1)C2=CC(CC3)2CCN3C(OC(C)(C)C)=O,PtBr2,70 °C,"1,2-DCE",C=C(C(O)C1=CC=C(Br)C=C1)C(CC2)=CCN2C(OC(C)(C)C)=O,77%,
15,CC1(C(C(O)C2=CSC=C2)=C1)C,PtBr2,70 °C,"1,2-DCE",CC(C(C(O)C1=CSC=C1)=C)=C,non-isolatable,38% NMR yield
16,OC(C1=CC=C(Br)C=C1)C2=CC32CCOCC3,PtBr2,70 °C,"1,2-DCE",C=C(C(O)C1=CC=C(Br)C=C1)C2=CCOCC2,46%,Purification on desactivated silica
17,OC1(CCN(CC1)C(OC(C)(C)C)=O)C2=CC32CCCCC3,PtBr2,70 °C,"1,2-DCE",C=C(C1(CCN(CC1)C(OC(C)(C)C)=O)O)C2=CCCCC2,98%,Purification on desactivated silica
