,Entry,SM-SMILES,catalyst,Temperature,Solvent,Product-SMILES,Yield ,Comment,yield,reaction,yield_bin
0,1,CC1(C)C=C1C(O)C2=CC=CC=C2,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=CC=C1)C(C(C)=C)=C,50%,,50.0,the isomerization from CC1(C)C=C1C(O)C2=CC=CC=C2 to OC(C1=CC=CC=C1)C(C(C)=C)=C,0
1,2,CC1(C)C=C1C(C2=CC=CC=C2)(C)O,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=CC=C1)(C)C(C(C)=C)=C,<5%,,5.0,the isomerization from CC1(C)C=C1C(C2=CC=CC=C2)(C)O to OC(C1=CC=CC=C1)(C)C(C(C)=C)=C,0
2,3,CC1(C)C=C1C(O)(C)C,PtBr2,70 °C,"1,2-DCE",CC(C(C(O)(C)C)=C)=C,32%,,32.0,the isomerization from CC1(C)C=C1C(O)(C)C to CC(C(C(O)(C)C)=C)=C,0
3,4,CC1(C)C=C1C(CCCCC)O,PtBr2,70 °C,"1,2-DCE",OC(CCCCC)C(C(C)=C)=C,37%,,37.0,the isomerization from CC1(C)C=C1C(CCCCC)O to OC(CCCCC)C(C(C)=C)=C,0
4,5,CC1(C)C=C1C(C2=CC=C(OC)C=C2)O,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=C(OC)C=C1)C(C(C)=C)=C,50%,,50.0,the isomerization from CC1(C)C=C1C(C2=CC=C(OC)C=C2)O to OC(C1=CC=C(OC)C=C1)C(C(C)=C)=C,0
5,6,CC1(C)C=C1C(C2=CC=C(Br)C=C2)O,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=C(Br)C=C1)C(C(C)=C)=C,62%,,62.0,the isomerization from CC1(C)C=C1C(C2=CC=C(Br)C=C2)O to OC(C1=CC=C(Br)C=C1)C(C(C)=C)=C,1
6,7,CC1(C)C=C1C2(O)CCC3(OCCO3)CC2,PtBr2,70 °C,"1,2-DCE",OC1(CCC2(OCCO2)CC1)C(C(C)=C)=C,65%,,65.0,the isomerization from CC1(C)C=C1C2(O)CCC3(OCCO3)CC2 to OC1(CCC2(OCCO2)CC1)C(C(C)=C)=C,1
7,8,CC1(C)C=C1C2(O)CCN(C(OC(C)(C)C)=O)CC2,PtBr2,70 °C,"1,2-DCE",O=C(OC(C)(C)C)N(CC1)CCC1(O)C(C(C)=C)=C,68%,,68.0,the isomerization from CC1(C)C=C1C2(O)CCN(C(OC(C)(C)C)=O)CC2 to O=C(OC(C)(C)C)N(CC1)CCC1(O)C(C(C)=C)=C,1
8,9,CC1(C)C(C)=C1C(O)C2=CC=CC=C2,PtBr2,70 °C,"1,2-DCE",OC(C1=CC=CC=C1)/C(C(C)=C)=C\C,<5%,,5.0,the isomerization from CC1(C)C(C)=C1C(O)C2=CC=CC=C2 to OC(C1=CC=CC=C1)/C(C(C)=C)=C\C,0
9,10,CC1(C(OCC)=O)C=C1C2=CC=CC=C2,PtBr2,70 °C,"1,2-DCE",C=C(C1=CC=CC=C1)C(C(OCC)=O)=C,<5%,,5.0,the isomerization from CC1(C(OCC)=O)C=C1C2=CC=CC=C2 to C=C(C1=CC=CC=C1)C(C(OCC)=O)=C,0
10,11,CC1(C)C=C1C(O)(C2CC2)C,PtBr2,70 °C,"1,2-DCE",CC(O)(C1CC1)C(C(C)=C)=C,51%,,51.0,the isomerization from CC1(C)C=C1C(O)(C2CC2)C to CC(O)(C1CC1)C(C(C)=C)=C,1
11,12,CC1(C)C=C1C(O)(CCC2=CC=CC=C2)C,PtBr2,70 °C,"1,2-DCE",CC1(C)C=C1C(O)(CCC2=CC=CC=C2)C,68%,,68.0,the isomerization from CC1(C)C=C1C(O)(CCC2=CC=CC=C2)C to CC1(C)C=C1C(O)(CCC2=CC=CC=C2)C,1
12,13,CC1(C)C=C1C2(O)CCOCC2,PtBr2,70 °C,"1,2-DCE",OC1(CCOCC1)C(C(C)=C)=C,78%,,78.0,the isomerization from CC1(C)C=C1C2(O)CCOCC2 to OC1(CCOCC1)C(C(C)=C)=C,1
13,14,OC(C1=CC=C(Br)C=C1)C2=CC(CC3)2CCN3C(OC(C)(C)C)=O,PtBr2,70 °C,"1,2-DCE",C=C(C(O)C1=CC=C(Br)C=C1)C(CC2)=CCN2C(OC(C)(C)C)=O,77%,,77.0,the isomerization from OC(C1=CC=C(Br)C=C1)C2=CC(CC3)2CCN3C(OC(C)(C)C)=O to C=C(C(O)C1=CC=C(Br)C=C1)C(CC2)=CCN2C(OC(C)(C)C)=O,1
15,16,OC(C1=CC=C(Br)C=C1)C2=CC32CCOCC3,PtBr2,70 °C,"1,2-DCE",C=C(C(O)C1=CC=C(Br)C=C1)C2=CCOCC2,46%,Purification on desactivated silica,46.0,the isomerization from OC(C1=CC=C(Br)C=C1)C2=CC32CCOCC3 to C=C(C(O)C1=CC=C(Br)C=C1)C2=CCOCC2,0
16,17,OC1(CCN(CC1)C(OC(C)(C)C)=O)C2=CC32CCCCC3,PtBr2,70 °C,"1,2-DCE",C=C(C1(CCN(CC1)C(OC(C)(C)C)=O)O)C2=CCCCC2,98%,Purification on desactivated silica,98.0,the isomerization from OC1(CCN(CC1)C(OC(C)(C)C)=O)C2=CC32CCCCC3 to C=C(C1(CCN(CC1)C(OC(C)(C)C)=O)O)C2=CCCCC2,1
