,SMILES,Free energy of activation (kcal/mol),E_bin
0,CC(=O)c2nnc(c1ccc(OC)cc1)nn2,13.18898416194523,0
1,c1ccccc1c2nnc(F)nn2,12.936725544011406,0
2,c1cc(C(=O)OC)ccc1c2nnc(c1cnccc1)nn2,13.905599439990777,0
3,c1cc(OC)ccc1c2nnc(c1ncccc1)nn2,14.32791299699463,0
4,c1(NC)ccccc1c2nnc(CC)nn2,16.23114779396917,1
5,c1ncncc1c2nnc(c1ccccc1)nn2,13.748722190030158,0
6,c1cc(N(=O)=O)ccc1c2nnc(c1ccc(NC(=O)C)cc1)nn2,14.27143718699454,0
7,CC(=O)Nc2nnc(F)nn2,12.88213226100656,0
8,CNc2nnc(c1ncccn1)nn2,19.481016905039425,1
9,NC(=O)c2nncnn2,10.971994864978107,0
10,c1c(O)cccc1c2nnc(c1ncncc1)nn2,12.510019424018642,0
11,c1cc([O-])ccc1c2nnc(c1ccc(C(F)(F)F)cc1)nn2,18.44186200102348,1
12,c1cc(OC)ccc1c2nnc(Br)nn2,15.232153466208526,1
13,c1cc(N(=O)=O)ccc1c2nnc(c1cnccc1)nn2,13.584942341015624,0
14,c1cc(N)ccc1c2nnc(c1cocc1)nn2,17.294775548923333,1
15,n1cncnc1c2nnc(c1ccncc1)nn2,11.251236370057825,0
16,FC(F)(F)c2nnc(c1ncccc1)nn2,9.949155195063646,0
17,O=N(=O)c2nnc(C#C)nn2,7.5169303109978864,0
18,COC(=C)c2nnc(F)nn2,11.905100748047785,0
19,c1cc(NC(=O)C)ccc1c2nnc(C#C)nn2,14.695005762066565,1
20,Nc2nnc(c1cncnc1)nn2,20.40157260799811,1
21,c1sccc1c2nnc(c1ncncc1)nn2,13.118075645052915,0
22,COc2nnc(c1cnccc1)nn2,15.955043833952873,1
23,C#Cc2nnc(I)nn2,14.181075891008662,0
24,c1cc(C(=O)N)ccc1c2nnc(c1cncnc1)nn2,13.529721549012365,0
25,c1occc1c2nnc(OC)nn2,16.967843360035364,1
26,s1cccc1c2nnc(N(C)C)nn2,22.243311522985238,1
27,c1cc(C(=O)N)ccc1c2nnc(c1ccc(N)cc1)nn2,16.285113568046942,1
28,c1ncncc1c2nnc(c1cncnc1)nn2,12.803066126920823,0
29,CC(=O)c2nnc(SC)nn2,14.40823414900586,1
30,c1cc(C(=O)[O-])ccc1c2nnc(c1ccncc1)nn2,13.81963070699381,0
31,COC(=O)c2nnc(c1ccc(O)cc1)nn2,12.183087234987992,0
32,c1cc(C(=O)[O-])ccc1c2nnc(c1ccc(C(=O)[O-])cc1)nn2,14.683083091096666,1
33,c1cc(C(F)(F)F)ccc1c2nnc(N(C)C)nn2,21.72498908900976,1
34,CC(=O)Nc2nnc(c1ccc(C(=O)OC)cc1)nn2,13.73930955498258,0
35,Ic2nnc(Br)nn2,14.328540506207066,0
36,c1ccccc1/C=C/c2nnc(c1ncccn1)nn2,14.337325631970868,0
37,CNc2nnc(c1cnccc1)nn2,20.550292241050663,1
38,NC(=O)c2nnc(I)nn2,12.022444930965538,0
39,Fc2nnc(F)nn2,12.481781519018597,0
40,c1cc(C(=O)O)ccc1c2nnc(c1c(O)cccc1)nn2,13.987175609927496,0
41,o1cccc1c2nnc(c1ccncc1)nn2,14.186095962995989,0
42,c1cc(C(=O)N)ccc1c2nnc(c1ccc(OC)cc1)nn2,15.247213682027825,1
43,c1ccncc1c2nnc(c1ccccc1)nn2,14.386898843059724,1
44,CC(C)(C)c2nnc(N)nn2,25.94749715001421,1
45,CSc2nnc(N(C)C)nn2,22.718335835998687,1
46,O=N(=O)c2nnc(c1ccc(O)cc1)nn2,9.648578384037796,0
47,CC(=C)c2nnc(c1ccc(O)cc1)nn2,16.028462386981527,1
48,o1cccc1c2nnc(N(C)C)nn2,21.400566935972776,1
49,Nc2nnc(c1ncccn1)nn2,19.883877682949716,1
50,c1cc(N(=O)=O)ccc1c2nnc(C(F)(F)F)nn2,10.491322971121594,0
51,c1cc(NC(=O)C)ccc1c2nnc(F)nn2,13.94011243497498,0
52,c1cc(C(=O)O)ccc1c2nnc(N)nn2,21.465827872093364,1
53,s1cccc1c2nnc(OC)nn2,17.07702992597371,1
54,c1cc(NC(=O)C)ccc1c2nnc(c1c(O)cccc1)nn2,14.794779692957338,1
55,CC(=O)Nc2nnc(I)nn2,14.848745466963766,1
56,c1(NC)ccccc1c2nnc(C)nn2,17.11781801101341,1
57,n1cncnc1c2nnc(c1cncnc1)nn2,11.26629658609114,0
58,c1cc(C(=O)O)ccc1c2nnc(F)nn2,12.846364247954188,0
59,c1ccccc1C#Cc2nnc(c1ccc(O)cc1)nn2,15.670154748030091,1
60,FC(F)(F)c2nnc(CC)nn2,12.666269164980848,0
61,COC(=C)c2nnc(c1ncccc1)nn2,11.997972080027326,0
62,c1ncncc1c2nnc(F)nn2,12.32427675998822,0
63,c1cc(C(=O)[O-])ccc1c2nnc(N)nn2,21.96658005404186,1
64,NC(=O)c2nnc(C(OC)=C)nn2,9.947900176995477,0
65,c1(NC)ccccc1c2nnc(NC)nn2,21.38989928307105,1
66,FCc2nnc(CF)nn2,12.717724902993613,0
67,C=Cc2nnc(CC)nn2,16.386142516970217,1
68,c1cc([O-])ccc1c2nnc(Br)nn2,18.55481362088098,1
