name,SMILES,Molar,rate,n_carbons
Methyl acrylate,C=CC(OC)=O,1,0.013,1
Methyl acrylate,C=CC(OC)=O,2,0.013,1
Methyl acrylate,C=CC(OC)=O,4,0.023,1
ethyl acrylate,CCOC(=O)C=C,1,0.021,2
ethyl acrylate,CCOC(=O)C=C,2,0.026,2
ethyl acrylate,CCOC(=O)C=C,4,0.034,2
propyl acrylate,CCCOC(=O)C=C,1,0.018,3
propyl acrylate,CCCOC(=O)C=C,2,0.027,3
propyl acrylate,CCCOC(=O)C=C,4,0.05,3
n-butyl acrylate,CCCCOC(=O)C=C,1,0.024,4
n-butyl acrylate,CCCCOC(=O)C=C,2,0.038,4
n-butyl acrylate,CCCCOC(=O)C=C,4,0.044,4
iso-butyl acrylate,CC(C)COC(=O)C=C,1,0.021,4
iso-butyl acrylate,CC(C)COC(=O)C=C,2,0.03,4
iso-butyl acrylate,CC(C)COC(=O)C=C,4,0.039,4
2-ethyl-hexyl acrylate,CCCCC(CC)COC(=O)C=C,1,0.026,6
2-ethyl-hexyl acrylate,CCCCC(CC)COC(=O)C=C,2,0.039,6
2-ethyl-hexyl acrylate,CCCCC(CC)COC(=O)C=C,4,0.05,6
cyclohexyl acrylate,C=CC(=O)OC1CCCCC1,1,0.031,6
cyclohexyl acrylate,C=CC(=O)OC1CCCCC1,2,0.048,6
cyclohexyl acrylate,C=CC(=O)OC1CCCCC1,4,0.061,6
dodecyl acryalte,CCCCCCCCCCCCOC(=O)C=C,1,0.035,11
dodecyl acryalte,CCCCCCCCCCCCOC(=O)C=C,2,0.049,11
