,Composition_Formula,Equilibrium_Pressure_25C,Heat_of_Formation_kJperMolH2,bin,3bin_limit,2bin_real,element,pred_elements,ln_pressure,regression_pred,regression_bin_pred,regression_bin_pred_median,binary_heat
0,Th2Al,1.0167358951774124e-17,-130.0,2,2,2,"['Th', 'Al']",1,-39.127349187648704,-138.1301058611357,2,0,0
1,Ti2Cu,1.2200830742128937e-15,-130.0,2,2,2,"['Ti', 'Cu']",1,-34.33985744486666,-125.17087529560561,2,0,0
2,Zr2Cu,7.297612026554459e-20,-144.0,2,2,2,"['Zr', 'Cu']",1,-44.064154684891946,-151.49351286698754,2,0,0
3,Zr2Ni,2.058957198564648e-24,-183.0,2,2,2,"['Zr', 'Ni']",1,-54.53984259151432,-179.8500849945804,2,0,0
4,Mg2Ni,1.2401578620850435e-05,-64.5,2,2,2,"['Mg', 'Ni']",1,-11.297686785323176,-62.7981719363738,2,0,0
5,Mg2Co0.25Ni0.75,6.333239945579323e-06,-64.5,2,2,2,"['Mg', 'Co', 'Ni']",1,-11.969698613009502,-64.6172364247628,2,0,0
6,Mg2Fe0.25Ni0.75,6.280056744354837e-06,-65.2,2,2,2,"['Mg', 'Fe', 'Ni']",1,-11.978131541799696,-64.64006346539416,2,0,0
7,Mg2Cr0.25Ni0.75,2.279544208544706e-05,-61.0,2,2,2,"['Mg', 'Cr', 'Ni']",1,-10.688949950521277,-61.150386118712085,2,0,0
8,Mg2Cu0.25Ni0.75,4.3001956393652456e-05,-59.0,2,2,2,"['Mg', 'Cu', 'Ni']",1,-10.054264945778892,-59.432361366953145,2,0,0
9,Mg2Ti0.25Ni0.75,4.658545275979016e-05,-59.0,2,2,2,"['Mg', 'Ti', 'Ni']",1,-9.974222238105355,-59.21569427705276,2,0,0
10,ThCo,0.0202404562945991,-46.8,2,2,2,"['Th', 'Co']",2,-3.9000718906174288,-42.773615820944954,2,0,0
11,ThNi,0.0041671432123623,-45.3,2,2,2,"['Th', 'Ni']",1,-5.480524558914899,-47.051732970129265,2,0,0
12,Ti0.46Mn0.05V0.05Fe0.45,2.24884865942675,-28.6,1,1,1,"['Ti', 'Mn', 'V', 'Fe']",1,0.810418378328218,-30.02282004902805,1,1,1
13,Zr0.04Ti0.96Nb0.04Fe0.95,1.1330198344371585,-31.8,1,1,1,"['Zr', 'Ti', 'Nb', 'Fe']",1,0.1248864880154619,-31.87848190786692,1,1,1
14,Ti0.9Fe0.9B0.2,13.716892394336089,-7.6,0,0,2,"['Ti', 'Fe', 'B']",1,2.618628094771769,-25.128188813046712,1,1,1
15,La0.1Ti0.9Co1,0.0025112451596866,-60.0,2,2,2,"['La', 'Ti', 'Co']",1,-5.986976569288815,-48.42264465529446,2,0,0
16,Zr0.1Ti0.9Fe1,2.722722436607205,-28.9,1,1,1,"['Zr', 'Ti', 'Fe']",1,1.001632275557145,-29.505224382098866,1,1,1
17,TiCo,0.00224399239246,-57.8,2,2,2,"['Ti', 'Co']",1,-6.099498681496774,-48.72723003615113,2,0,0
18,Ti1Fe0.5Co0.5,0.1295775132300278,-42.3,2,2,2,"['Ti', 'Fe', 'Co']",1,-2.0434760191459587,-37.74800841354115,1,0,0
19,Ti1Mn0.5Co0.5,0.0330866273106653,-46.9,2,2,2,"['Ti', 'Mn', 'Co']",1,-3.408626086973869,-41.4433243401333,2,0,0
20,TiCu,4.110047647986045e-15,-126.0,2,2,2,"['Ti', 'Cu']",1,-33.12534177328579,-121.88331064607998,2,0,0
21,TiFe,4.313248552071831,-28.1,1,1,1,"['Ti', 'Fe']",1,1.4616913445867017,-28.259893451073054,1,1,1
22,Ti1Fe0.6Ni0.4,0.0076797015643149,-48.6,2,2,2,"['Ti', 'Fe', 'Ni']",1,-4.869174591390744,-45.396873680331105,2,0,0
23,Ti1Mn0.2Fe0.7,0.7160157767194152,-34.7,1,1,1,"['Ti', 'Mn', 'Fe']",1,-0.3340530777399251,-33.120782462689846,1,1,1
24,Ti1Be0.2Fe0.8,0.8274895474763463,-30.5,1,1,1,"['Ti', 'Be', 'Fe']",1,-0.18935880325922064,-32.7291104629763,1,1,1
25,Ti1V0.05Fe0.8Ni0.15,0.0528651881013207,-41.0,2,2,2,"['Ti', 'V', 'Fe', 'Ni']",1,-2.940010226659256,-40.174831085886495,2,0,0
26,Ti1Fe0.8Ni0.2,0.0757261773330141,-41.9,2,2,2,"['Ti', 'Fe', 'Ni']",1,-2.580631374708494,-39.202030786057875,1,0,0
27,Ti1Mn0.05Fe0.95,3.6067059056670914,-29.3,1,1,1,"['Ti', 'Mn', 'Fe']",1,1.2827948642660227,-28.744147181501482,1,1,1
28,Ti1Al0.1Fe0.9,1.2000000000000008,-30.0,1,1,1,"['Ti', 'Al', 'Fe']",1,0.18232155679395534,-31.723011290090973,1,1,1
29,Ti1Fe0.9Co0.1,1.924057490611676,-30.6,1,1,1,"['Ti', 'Fe', 'Co']",1,0.6544362325723927,-30.445047114798655,1,1,1
30,Ti1Cr0.1Fe0.9,0.5278644188036328,-30.5,1,1,1,"['Ti', 'Cr', 'Fe']",1,-0.6389158108190417,-33.94601343144638,1,1,1
31,Ti1Mn0.1Fe0.9,2.600000000000001,-29.5,1,1,1,"['Ti', 'Mn', 'Fe']",1,0.9555114450274368,-29.630068561226558,1,1,1
32,Ti1Fe0.9Ni0.1,0.5925849497878128,-35.6,1,1,1,"['Ti', 'Fe', 'Ni']",1,-0.5232610410807836,-33.63294828009629,1,1,0
33,ErAg,3.65153843488012e-07,-35.2,1,1,1,"['Er', 'Ag']",1,-14.822947083157208,-72.34067633275586,2,0,0
34,HfCo,0.0001586042602992,-59.0,2,2,2,"['Hf', 'Co']",2,-8.749098387212573,-55.89941441526785,2,0,0
35,HfNi,0.0042007875194439,-50.0,2,2,2,"['Hf', 'Ni']",1,-5.47248326664011,-47.02996604785918,2,0,0
36,Li0.94Pd1,3.047861129830459e-08,-69.2,2,2,2,"['Li', 'Pd']",1,-17.30624066824515,-79.06268774501063,2,0,0
37,UCo,0.0001139202318451,-55.0,2,2,2,"['U', 'Co']",2,-9.080012075145552,-56.795162545941665,2,0,0
38,Hf0.5Zr0.5Co1,2.308461485627652e-06,-76.2,2,2,2,"['Hf', 'Zr', 'Co']",1,-12.97892927886059,-67.3491164143808,2,0,0
39,Hf0.3Zr0.7Co1,1.8781778931590424e-07,-80.3,2,2,2,"['Hf', 'Zr', 'Co']",1,-15.487793549866536,-74.14034495166348,2,0,0
40,ZrCo,5.685683897917631e-08,-76.3,2,2,2,"['Zr', 'Co']",1,-16.68272932531892,-77.37490890645981,2,0,0
41,Zr1Co0.84Ni0.16,5.5704395291024795e-09,-83.0,2,2,2,"['Zr', 'Co', 'Ni']",1,-19.005791876048196,-83.66319196374918,2,0,0
42,ZrNi,4.1694944791718575e-06,-64.0,2,2,2,"['Zr', 'Ni']",1,-12.387715757518615,-65.7487643410679,2,0,0
43,CaNi2,0.0499999999999999,-85.0,2,2,2,"['Ca', 'Ni']",1,-2.995732273553993,-40.32566473575773,2,0,0
44,DyFe2,2.614755205396812e-06,-58.0,2,2,2,"['Dy', 'Fe']",1,-12.854340076532177,-67.01186670499307,2,0,0
45,Ce0.5Th1.5Al1,5.027494542157073e-20,-133.0,2,2,2,"['Ce', 'Th', 'Al']",1,-44.43678010281463,-152.50217021093334,2,0,0
46,Zr0.5Ti0.5Mn1.2Fe0.3,0.0334994686463266,-39.0,1,1,1,"['Zr', 'Ti', 'Mn', 'Fe']",1,-3.3962257015805917,-41.40975781677476,2,0,0
47,Zr0.5Ti0.5Mn2,0.1807517251545121,-40.0,1,1,1,"['Zr', 'Ti', 'Mn']",1,-1.7106308735655071,-36.84703203260061,1,0,0
