Precursor;Activator;Activator_carbon_ratio;Activation T (K);Pore volume (cm3/g);BET (m2/g);BET_2bins_5050;BET_7426;synthesis
Lignin Waste;KOH;4;873;0.91;1820;1;1;an activated carbon synthetized from Lignin Waste as precursor, activated with KOH with an activator/carbon weight ratio of 4 at a temperature of 873 K
Lignin Waste;KOH;4;973;1;2038;1;1;an activated carbon synthetized from Lignin Waste as precursor, activated with KOH with an activator/carbon weight ratio of 4 at a temperature of 973 K
Crab shell;KOH;1.5;773;0.24;503;0;0;an activated carbon synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at a temperature of 773 K
Crab shell;KOH;1.5;923;0.5;1196;0;0;an activated carbon synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at a temperature of 923 K
Crab shell;KOH;0.5;873;0.09;192;0;0;an activated carbon synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 0.5 at a temperature of 873 K
Crab shell;KOH;1;873;0.34;798;0;0;an activated carbon synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1 at a temperature of 873 K
Crab shell;KOH;1.5;873;0.46;1004;0;0;an activated carbon synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at a temperature of 873 K
Crab shell;KOH;2;873;0.47;1387;1;0;an activated carbon synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at a temperature of 873 K
Crab shell;KOH;1.5;873;0.09;192;0;0;an activated carbon synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at a temperature of 873 K
Peanut shell;KOH;2;953;0.73;1713;1;0;an activated carbon synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at a temperature of 953 K
Peanut shell;KOH;2;1053;0.8;1871;1;1;an activated carbon synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at a temperature of 1053 K
Rice husk;KOH;1;913;0.41;774;0;0;an activated carbon synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at a temperature of 913 K
Rice husk;KOH;1;983;0.53;1041;0;0;an activated carbon synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at a temperature of 983 K
Rice husk;KOH;1;1053;0.6;1199;0;0;an activated carbon synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at a temperature of 1053 K
Rice husk;KOH;3;1053;1.14;2695;1;1;an activated carbon synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at a temperature of 1053 K
Empty fruit bunch;KOH;5;873;0.17;1080;0;0;an activated carbon synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at a temperature of 873 K
Empty fruit bunch;KOH;5;1073;0.43;1120;0;0;an activated carbon synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at a temperature of 1073 K
Olive stone;CO2;none;1073;0.49;1063;0;0;an activated carbon synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at a temperature of 1073 K
Black locust;KOH;6;1103;0.98;2064;1;1;an activated carbon synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at a temperature of 1103 K
Black locust;KOH+Ammonia;6;873;1.35;2511;1;1;an activated carbon synthetized from Black locust as precursor, activated with KOH+Ammonia with an activator/carbon weight ratio of 6 at a temperature of 873 K
Bambo;KOH;3;1146;0.8;1990;1;1;an activated carbon synthetized from Bambo as precursor, activated with KOH with an activator/carbon weight ratio of 3 at a temperature of 1146 K
Bambo;KOH;1;1246;0.7;1840;1;1;an activated carbon synthetized from Bambo as precursor, activated with KOH with an activator/carbon weight ratio of 1 at a temperature of 1246 K
Celtuce leaves;KOH;4;873;1.71;3290;1;1;an activated carbon synthetized from Celtuce leaves as precursor, activated with KOH with an activator/carbon weight ratio of 4 at a temperature of 873 K
Pollen;KOH;1;1073;0.4;937;0;0;an activated carbon synthetized from Pollen as precursor, activated with KOH with an activator/carbon weight ratio of 1 at a temperature of 1073 K
