Precursor;Activator;Activator_carbon_ratio;Activation T (K);T adsorption (K);P adsorption (bar);CO2 ads (mmol/g);CO2ads_2bins_5050;CO2ads_4bins;CO2ads_10bins;CO2ads_7228;adsorption_all_inputs;adsorption_only_BETpore;adsorption_wo_BETpore;adsorption_all_inputs_woNAME;adsorption_wo_BETporeNAME
Lignin Waste;KOH;4;873;298;1;2.7;0;1;4;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Lignin Waste as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K, and has a BET surface area of 1820.0 m2/g and a pore volume of 0.91 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1820.0 m2/g and a pore volume of 0.91 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Lignin Waste as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K, and has a BET surface area of 1820.0 m2/g and a pore volume of 0.91 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K
Lignin Waste;KOH;4;973;298;1;3.2;1;2;5;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Lignin Waste as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 973 K, and has a BET surface area of 2038.0 m2/g and a pore volume of 1.0 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 2038.0 m2/g and a pore volume of 1.0 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Lignin Waste as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 973 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 973 K, and has a BET surface area of 2038.0 m2/g and a pore volume of 1.0 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 973 K
Crab shell;KOH;1.5;773;273;1;2.68;0;1;4;0;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 773 K, and has a BET surface area of 503.0 m2/g and a pore volume of 0.24 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 503.0 m2/g and a pore volume of 0.24 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 773 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 773 K, and has a BET surface area of 503.0 m2/g and a pore volume of 0.24 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 773 K
Crab shell;KOH;1.5;773;273;0.15;2.6;0;1;4;0;an activated carbon at 273 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 773 K, and has a BET surface area of 503.0 m2/g and a pore volume of 0.24 cm3/g;an activated carbon at 273 K and 0.15 bar, which has a BET surface area of 503.0 m2/g and a pore volume of 0.24 cm3/g;an activated carbon at 273 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 773 K;an activated carbon at 273 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 773 K, and has a BET surface area of 503.0 m2/g and a pore volume of 0.24 cm3/g;an activated carbon at 273 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 773 K
Crab shell;KOH;1.5;923;273;1;6.1;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 923 K, and has a BET surface area of 1196.0 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1196.0 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 923 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 923 K, and has a BET surface area of 1196.0 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 923 K
Crab shell;KOH;0.5;873;298;1;2.3;0;1;4;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 0.5 at an activation temperature of 873 K, and has a BET surface area of 192.0 m2/g and a pore volume of 0.09 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 192.0 m2/g and a pore volume of 0.09 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 0.5 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 0.5 at an activation temperature of 873 K, and has a BET surface area of 192.0 m2/g and a pore volume of 0.09 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 0.5 at an activation temperature of 873 K
Crab shell;KOH;1;873;298;1;3.5;1;2;6;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K, and has a BET surface area of 798.0 m2/g and a pore volume of 0.34 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 798.0 m2/g and a pore volume of 0.34 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K, and has a BET surface area of 798.0 m2/g and a pore volume of 0.34 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K
Crab shell;KOH;1.5;873;298;1;4.11;1;3;7;1;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K, and has a BET surface area of 1004.0 m2/g and a pore volume of 0.46 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1004.0 m2/g and a pore volume of 0.46 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K, and has a BET surface area of 1004.0 m2/g and a pore volume of 0.46 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K
Crab shell;KOH;2;873;298;1;2.1;0;1;3;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 1387.0 m2/g and a pore volume of 0.47 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1387.0 m2/g and a pore volume of 0.47 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 1387.0 m2/g and a pore volume of 0.47 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K
Crab shell;KOH;1.5;873;298;0.15;2.2;0;1;4;0;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K, and has a BET surface area of 192.0 m2/g and a pore volume of 0.09 cm3/g;an activated carbon at 298 K and 0.15 bar, which has a BET surface area of 192.0 m2/g and a pore volume of 0.09 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K, and has a BET surface area of 192.0 m2/g and a pore volume of 0.09 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K
