effects;steam_temperature;steam_pressure;delta_T;specific_surface;GOR;specificSurface_2bins_5050;specificSurface_8020;GOR_2bins_5050;GOR_6733;effects_T
4;65;25.0235;3.298858504;515.0976561;4.889585781;0;0;0;0;a 4 effects evaporator for water desalination with a steam temperature of 65
4;67;27.3481;3.799363152;421.5959423;4.816386015;0;0;0;0;a 4 effects evaporator for water desalination with a steam temperature of 67
4;69;29.8531;4.299816017;354.5901525;4.746233074;0;0;0;0;a 4 effects evaporator for water desalination with a steam temperature of 69
4;71;32.5496;4.800219202;304.5762896;4.678928938;0;0;0;0;a 4 effects evaporator for water desalination with a steam temperature of 71
4;73;35.4492;5.300574722;266.0150413;4.614291158;0;0;0;0;a 4 effects evaporator for water desalination with a steam temperature of 73
4;75;38.5637;5.800884508;235.513518;4.552151457;0;0;0;0;a 4 effects evaporator for water desalination with a steam temperature of 75
5;65;25.0235;2.523219419;752.7110109;5.691499771;1;0;0;0;a 5 effects evaporator for water desalination with a steam temperature of 65
5;67;27.3481;2.923584289;608.2213852;5.607843101;0;0;0;0;a 5 effects evaporator for water desalination with a steam temperature of 67
5;69;29.8531;3.323910523;506.0448256;5.527223255;0;0;0;0;a 5 effects evaporator for water desalination with a steam temperature of 69
5;71;32.5496;3.724199494;430.7092827;5.449461836;0;0;0;0;a 5 effects evaporator for water desalination with a steam temperature of 71
5;73;35.4492;4.124452519;373.2498224;5.374393547;0;0;0;0;a 5 effects evaporator for water desalination with a steam temperature of 73
5;75;38.5637;4.524670868;328.2279764;5.301865058;0;0;0;0;a 5 effects evaporator for water desalination with a steam temperature of 75
6;65;25.0235;2.007171921;1045.572602;6.43450056;1;1;1;0;a 6 effects evaporator for water desalination with a steam temperature of 65
6;67;27.3481;2.340836178;835.4728983;6.337232833;1;0;1;0;a 6 effects evaporator for water desalination with a steam temperature of 67
6;69;29.8531;2.674469807;688.5864239;6.2432538;1;0;1;0;a 6 effects evaporator for water desalination with a steam temperature of 69
6;71;32.5496;3.00807373;581.3149526;6.152384322;0;0;0;0;a 6 effects evaporator for water desalination with a steam temperature of 71
6;73;35.4492;3.341648843;500.2519898;6.064457673;0;0;0;0;a 6 effects evaporator for water desalination with a steam temperature of 73
6;75;38.5637;3.675196009;437.2500918;5.979318569;0;0;0;0;a 6 effects evaporator for water desalination with a steam temperature of 75
7;65;25.0235;1.639287609;1399.186748;7.128887892;1;1;1;1;a 7 effects evaporator for water desalination with a steam temperature of 65
7;67;27.3481;1.925362979;1106.775498;7.015742685;1;1;1;1;a 7 effects evaporator for water desalination with a steam temperature of 67
7;69;29.8531;2.211412598;904.4903438;6.906341829;1;0;1;1;a 7 effects evaporator for water desalination with a steam temperature of 69
7;71;32.5496;2.497437105;758.0572706;6.80049001;1;0;1;1;a 7 effects evaporator for water desalination with a steam temperature of 71
7;73;35.4492;2.783437123;648.2234242;6.698004951;1;0;1;0;a 7 effects evaporator for water desalination with a steam temperature of 73
7;75;38.5637;3.06941326;563.4286909;6.598716438;0;0;1;0;a 7 effects evaporator for water desalination with a steam temperature of 75
8;65;25.0235;1.36391395;1819.998905;7.781167738;1;1;1;1;a 8 effects evaporator for water desalination with a steam temperature of 65
8;67;27.3481;1.614345306;1425.895825;7.650484315;1;1;1;1;a 8 effects evaporator for water desalination with a steam temperature of 67
8;69;29.8531;1.864753737;1156.152139;7.52417244;1;1;1;1;a 8 effects evaporator for water desalination with a steam temperature of 69
8;71;32.5496;2.115139694;962.5257448;7.402006902;1;0;1;1;a 8 effects evaporator for water desalination with a steam temperature of 71
8;73;35.4492;2.365503622;818.3249047;7.283777355;1;0;1;1;a 8 effects evaporator for water desalination with a steam temperature of 73
8;75;38.5637;2.615845963;707.6634908;7.169287138;1;0;1;1;a 8 effects evaporator for water desalination with a steam temperature of 75
