train_size,y_true,y_pred,accuracy,f1_macro,f1_micro,f1_weighted,kappa
5,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
5,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
5,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
5,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
5,"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
5,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
5,"[1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
5,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
5,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
5,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.46153846153846156,0.3157894736842105,0.46153846153846156,0.291497975708502,0.0
10,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",0.8,0.7916666666666667,0.8,0.7916666666666667,0.6
10,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.8,0.7916666666666667,0.8,0.7916666666666667,0.6
10,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 1]",1.0,1.0,1.0,1.0,1.0
10,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0.8,0.7916666666666667,0.8,0.7916666666666667,0.6
