,MOF,U_N2 (mol/kg),D_N2 (cm2/s),U_N2_binary,D_N2_binary,mofkey,mofid,formula_primitive
0,FAYQUT_clean,0.3419103361,0.0001252172107108,0,0,Zn.BJFLSHMHTPAZHO.QBPGNBVGXVPQPH.MOFkey-v1.ERROR,[CH]1C=CC2=NN=NC2=C1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)OCC(COc1ccc(cc1)c1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)c1ccc(cc1)C(=O)[O-])COc1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn].c1ccc2c(c1)N=N[N]2 MOFid-v1.ERROR.cat3;FAYQUT_clean,Zn20 H256 C372 N72 O48
1,LEHXUT_clean,0.3408653997999999,0.0005008930749799,0,1,Cu.LUNBLTJGYKFZCU.MOFkey-v1.ERROR,"O=C([C]1C=C[C](C=C1)c1cc(cc(c1)[C]1C=C[C](C=C1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])[C]1C=C[C](C=C1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu] MOFid-v1.ERROR,ntt.cat0;LEHXUT_clean",Cu24 H216 C408 N24 O120
2,AVIVIK_clean,0.4199581786,9.01545991410652e-05,1,0,Ag.USWLOKMMUTWFMD.MOFkey-v1.pts,[Ag].n1ccc(cc1)c1sc(c(c1c1ccncc1)c1ccncc1)c1ccncc1 MOFid-v1.pts.cat0;AVIVIK_clean,Ag8 H128 C192 S8 N32
3,IYOQAQ_clean,0.2638855618,1.00278349620035e-05,0,0,Zn.YKIVHHSXLQRUFS.MOFkey-v1.UNKNOWN,[O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-].[O].[Zn] MOFid-v1.UNKNOWN.cat0;IYOQAQ_clean,Zn4 H6 C18 N8 O10
4,WEFXEM_clean,0.4317803181,5.983721319435101e-05,1,0,Ni.XTROKVMNCYLJGO.MOFkey-v1.sql,"[Ni].[O]S(c1cc(ccc1c1c[n-][nH]c1)c1c[n-][nH]c1)([O])[O] MOFid-v1.sql,rtl.cat0;WEFXEM_clean",Ni2 H36 C48 S4 N16 O12
5,MUHPAI_clean,0.4408775246,1.22075076472817e-05,1,0,Cu.FKRWEUURBIKKBQ.JEVCWSUVFOYBFI.MOFkey-v1.ERROR,Cc1[nH][n-]c(c1c1c(C)[n-][nH]c1C)C.[C]#N.[Cu].[Cu]I MOFid-v1.ERROR.cat1;MUHPAI_clean,Cu8 H112 C84 I4 N36
6,UKUCAF_clean,1.1065187737,5.80192231002834e-05,1,0,Co.OTPHKFZNHRRWOG.MOFkey-v1.pts,[Co].n1ccc(cc1)OCC(COc1ccncc1)(COc1ccncc1)COc1ccncc1 MOFid-v1.pts.cat1;UKUCAF_clean,Co4 H104 C100 S8 N16 O16
7,HUQHEI_clean,0.3889709294,0.0002119434070542,1,1,Zn.NWYGETXZXGDGKD.XUPMSLUFFIXCDA.MOFkey-v1.ERROR,"[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)N=Nc1ccncc1 MOFid-v1.ERROR,sql.cat1;HUQHEI_clean",Zn6 H112 C176 N12 O24
8,XEDPIH_clean,0.2820450914,0.0001740557653892,0,1,Zn.IGFXRKMLLMBKSA.MOFkey-v1.nod,C1=Nc2c([N]1)cncn2.[Zn]Br MOFid-v1.nod.cat0;XEDPIH_clean,Zn8 H24 C40 Br8 N32
9,GOZNAM_clean,0.2350476193,0.0001743512921331,0,1,Mn.MGFJDEHFNMWYBD.MOFkey-v1.ERROR,[Mn].n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.ERROR.cat5;GOZNAM_clean,Mn6 H60 W4 C104 N44
