,modeltype,target,train_size,trues,preds,model_params,accuracy,f1_micro,f1_macro,kappa,seed,features
0,RandomForestClassifier,['Diffusion_bool'],25,"[0 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1
 1 1 0 1 0 1 1 1 0 0 0 1 1]","[0 0 0 1 1 1 1 0 0 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 0 0 1
 0 0 0 1 1 1 1 1 0 0 1 1 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 110, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.8,0.8000000000000002,0.797077922077922,0.5948136142625609,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
1,RandomForestClassifier,['Diffusion_bool'],50,"[0 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1
 1 1 0 1 0 1 1 1 0 0 0 1 1]","[0 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1
 0 0 0 1 1 1 1 1 0 0 1 1 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 90, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.8,0.8000000000000002,0.7916666666666667,0.5833333333333333,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
2,RandomForestClassifier,['Diffusion_bool'],100,"[0 0 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1
 1 1 1 0 1 0 1 1 1 0 0 0 1]","[0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0
 0 0 0 0 1 1 1 1 1 0 0 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 96, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.84,0.8399999999999999,0.84,0.6845425867507886,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
3,RandomForestClassifier,['Diffusion_bool'],200,"[1 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0
 1 1 1 1 0 1 0 1 1 0 0 0 1]","[1 1 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0
 0 1 0 0 0 1 1 1 1 0 0 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 148, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.84,0.8399999999999999,0.8389694041867956,0.6799999999999999,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
4,RandomForestClassifier,['Diffusion_bool'],500,"[0 1 1 0 0 0 0 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0
 1 1 1 1 0 1 0 1 1 0 0 0 1]","[0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0
 0 1 0 0 0 1 1 1 1 0 0 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 234, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.76,0.76,0.7584541062801933,0.52,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
5,XGBClassifier,['Diffusion_bool'],25,"[0 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1
 1 1 0 1 0 1 1 1 0 0 0 1 1]","[0 0 0 1 1 1 0 0 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 1 1 0 1
 0 0 0 1 1 1 1 1 0 0 1 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8434432972209207, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 1.0052081978295022e-06, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.011845252524360304, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 15, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 105, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.00016062881823055203, 'reg_lambda': 3.3819675816583866e-07, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.9276630356450803, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.72,0.72,0.7126436781609196,0.4252873563218391,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
6,XGBClassifier,['Diffusion_bool'],50,"[0 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1
 1 1 0 1 0 1 1 1 0 0 0 1 1]","[0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 0 0 1
 0 0 0 1 1 1 1 1 0 0 1 1 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8995132648857536, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.14738240050659018, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.02734820258711424, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 12, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 165, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.02846863929314502, 'reg_lambda': 9.346395978754721e-06, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.5948840051806769, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.78,0.78,0.7756017951856384,0.5528455284552846,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
7,XGBClassifier,['Diffusion_bool'],100,"[0 0 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1
 1 1 1 0 1 0 1 1 1 0 0 0 1]","[0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0
 1 0 0 0 1 1 1 1 0 0 0 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5631854044561602, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 2.7616247733442887e-06, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.030569729815744753, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 9, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 95, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.6133719570210774, 'reg_lambda': 2.419938421109238e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.664332195141939, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.84,0.8399999999999999,0.84,0.6845425867507886,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
8,XGBClassifier,['Diffusion_bool'],200,"[1 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0
 1 1 1 1 0 1 0 1 1 0 0 0 1]","[1 1 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0
 0 1 0 1 0 1 1 1 1 0 0 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8102074982568641, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.00014977685158627137, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.01133297775118943, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 14, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 132, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 1.2762567050468044e-08, 'reg_lambda': 2.001821932598129e-06, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6488262518058335, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.84,0.8399999999999999,0.8376623376623378,0.6758508914100486,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
9,XGBClassifier,['Diffusion_bool'],500,"[0 1 1 0 0 0 0 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0
 1 1 1 1 0 1 0 1 1 0 0 0 1]","[0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 1 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0
 0 1 0 0 0 1 1 1 1 0 0 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7164802564866768, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.007254393680796732, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.017467291516628798, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 12, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 69, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 5.0403286414705775e-06, 'reg_lambda': 4.645457027431733e-05, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6981810929198762, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.76,0.76,0.7584541062801933,0.52,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
