,modeltype,target,train_size,trues,preds,model_params,accuracy,f1_micro,f1_macro,kappa,seed,features
0,RandomForestClassifier,['Diffusion_bool'],25,"[0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0 0
 0 0 0 1 0 1 0 1 1 0 1 0 0]","[1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1 0 1 1 0 1 0 1
 0 0 0 0 0 0 0 1 1 0 1 0 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 8, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 298, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.66,0.66,0.6565656565656566,0.32646592709984157,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
1,RandomForestClassifier,['Diffusion_bool'],50,"[1 1 0 1 1 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0
 0 0 0 0 1 0 1 0 1 1 1 0 0]","[1 1 1 1 0 1 0 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0
 0 0 0 0 0 0 0 0 1 1 1 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 63, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.78,0.78,0.7726333195535344,0.5469522240527183,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
2,RandomForestClassifier,['Diffusion_bool'],100,"[0 0 0 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 1 1 1
 0 0 0 0 0 1 0 1 1 1 1 0 0]","[0 0 0 0 1 1 0 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1
 0 0 0 0 0 0 0 0 1 1 1 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 102, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.84,0.8399999999999999,0.830220713073005,0.6655518394648829,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
3,RandomForestClassifier,['Diffusion_bool'],200,"[1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 1 0 1 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0
 1 1 1 0 1 0 1 0 0 1 1 0 0]","[1 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1
 1 1 1 0 0 0 1 0 0 1 1 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 11, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 173, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.84,0.8399999999999999,0.8376623376623377,0.6774193548387097,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
4,RandomForestClassifier,['Diffusion_bool'],500,"[0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1
 1 1 0 0 0 1 1 0 0 1 1 0 0]","[0 1 0 1 1 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1
 0 1 0 0 1 1 1 0 0 0 1 1 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 13, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 154, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.78,0.78,0.7799119647859143,0.5614035087719298,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
5,XGBClassifier,['Diffusion_bool'],25,"[0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0 0
 0 0 0 1 0 1 0 1 1 0 1 0 0]","[1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0
 0 0 0 0 0 0 0 1 1 0 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5307322820894766, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.002171480934935166, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.24976509518859524, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 8, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 137, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.00010089151941234685, 'reg_lambda': 0.003958286002233612, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6794339446363831, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.66,0.66,0.6565656565656566,0.32646592709984157,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
6,XGBClassifier,['Diffusion_bool'],50,"[1 1 0 1 1 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0
 0 0 0 0 1 0 1 0 1 1 1 0 0]","[1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0
 0 0 0 0 0 0 0 0 1 1 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8177876413268885, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.6688896345740536, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.02981934499719297, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 12, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 226, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.473520749808255, 'reg_lambda': 2.4032152994523124e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.5326756263145848, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.86,0.8599999999999999,0.8528793610760823,0.7088186356073212,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
7,XGBClassifier,['Diffusion_bool'],100,"[0 0 0 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 1 1 1
 0 0 0 0 0 1 0 1 1 1 1 0 0]","[1 0 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1
 0 0 0 0 0 0 0 0 1 1 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9062194518094399, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.00010019203327047976, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.056745232893385025, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 13, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 235, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 1.6484200890966504e-06, 'reg_lambda': 0.00021879246664444446, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.5529926064716361, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.78,0.78,0.7756017951856385,0.5513866231647635,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
8,XGBClassifier,['Diffusion_bool'],200,"[1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 1 0 1 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0
 1 1 1 0 1 0 1 0 0 1 1 0 0]","[1 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1
 1 1 1 0 0 0 1 0 0 1 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7546260067321297, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 1.2082547694097493e-08, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0127533017236272, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 10, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 97, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.9323177495245231, 'reg_lambda': 0.002271801482999957, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6496833078637663, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.84,0.8399999999999999,0.8389694041867954,0.6784565916398714,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
9,XGBClassifier,['Diffusion_bool'],500,"[0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1
 1 1 0 0 0 1 1 0 0 1 1 0 0]","[0 1 0 1 1 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1 1
 0 1 0 0 1 1 1 0 0 0 1 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8781134682436877, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.009496721787369555, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.011972517513287756, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 4, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 142, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 2.792051812799105e-06, 'reg_lambda': 0.00047834674580331905, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.5400211793408275, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.78,0.78,0.7799119647859143,0.56,1,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
