BIOMASS_name;HHVbiom (MJ/kg);C (%);H (%);O (%);ash (%);VM (%);FC (%);MC (%);H2_CO;H2CO_2bins_5050;H2CO_7030;name_all_prop
almond hulls;18.77;46.5;5.97;40.16;6.18;73.21;20.61;8.18;2.074440846;1;1;almond hulls with C content of 46.5%, H content of 5.97%, O content of 40.16%, VM content of 73.21%, FC content of 20.61%, ash content of 6.18%, MC (%) content of 8.18, and HHV of 18.77 MJ/kg
almond shells;19.05;50.14;5.95;40.1;3.04;76.1;20.86;7.85;1.831214394;1;1;almond shells with C content of 50.14%, H content of 5.95%, O content of 40.1%, VM content of 76.1%, FC content of 20.86%, ash content of 3.04%, MC (%) content of 7.85, and HHV of 19.05 MJ/kg
bamboo;19.05;48;6.1;42.55;2.7;76;21.3;9;1.935222692;1;1;bamboo with C content of 48.0%, H content of 6.1%, O content of 42.55%, VM content of 76.0%, FC content of 21.3%, ash content of 2.7%, MC (%) content of 9.0, and HHV of 19.05 MJ/kg
barley straw;18.68;46.2;5.7;41.54;5.88;76.1;18.02;11.53;1.352148671;0;0;barley straw with C content of 46.2%, H content of 5.7%, O content of 41.54%, VM content of 76.1%, FC content of 18.02%, ash content of 5.88%, MC (%) content of 11.53, and HHV of 18.68 MJ/kg
beech torrefied;21.6;54.2;5.6;38.28;1.8;73.4;24.8;0;2.098140485;1;1;beech torrefied with C content of 54.2%, H content of 5.6%, O content of 38.28%, VM content of 73.4%, FC content of 24.8%, ash content of 1.8%, MC (%) content of 0.0, and HHV of 21.6 MJ/kg
beech wood;19.93;49.5;6.26;43.44;0.6;84;15.4;5.9;0.866350378;0;0;beech wood with C content of 49.5%, H content of 6.26%, O content of 43.44%, VM content of 84.0%, FC content of 15.4%, ash content of 0.6%, MC (%) content of 5.9, and HHV of 19.93 MJ/kg
birch wood;19.72;48.7;6.4;44.45;0.37;78.7;20.93;11.1;1.228547989;0;0;birch wood with C content of 48.7%, H content of 6.4%, O content of 44.45%, VM content of 78.7%, FC content of 20.93%, ash content of 0.37%, MC (%) content of 11.1, and HHV of 19.72 MJ/kg
cacao shells;18.38;47.4;5.24;33.64;10.5;67.8;21.7;13.4;2.286425668;1;1;cacao shells with C content of 47.4%, H content of 5.24%, O content of 33.64%, VM content of 67.8%, FC content of 21.7%, ash content of 10.5%, MC (%) content of 13.4, and HHV of 18.38 MJ/kg
coconut shell;20.5;50.22;5.7;43.37;0.71;77.19;22.1;8.27;1.235549675;0;0;coconut shell with C content of 50.22%, H content of 5.7%, O content of 43.37%, VM content of 77.19%, FC content of 22.1%, ash content of 0.71%, MC (%) content of 8.27, and HHV of 20.5 MJ/kg
corn stover;19;46.5;5.81;39.67;7.35;78.1;14.55;5;1.26935543;0;0;corn stover with C content of 46.5%, H content of 5.81%, O content of 39.67%, VM content of 78.1%, FC content of 14.55%, ash content of 7.35%, MC (%) content of 5.0, and HHV of 19.0 MJ/kg
