,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Composition_Formula,Equilibrium_Pressure_25C,formula_eqPressure_25C,Heat_of_Formation_kJperMolH2,binary,bin,3bin_limit,LnEquilibrium_Pressure_25C,binary_Heat,binary_pressure,element
0,0,0,0,Th2Al,1.0167358951774124e-17,Th2Al (Equilibrium Pressure at 25C: 1.0167358951774124e-17),-130.0,0.0,2,2,-39.127349187648704,0,0,"['Th', 'Al']"
1,1,1,1,Ti2Cu,1.2200830742128937e-15,Ti2Cu (Equilibrium Pressure at 25C: 1.2200830742128937e-15),-130.0,0.0,2,2,-34.33985744486666,0,0,"['Ti', 'Cu']"
2,2,2,2,Zr2Cu,7.297612026554459e-20,Zr2Cu (Equilibrium Pressure at 25C: 7.297612026554459e-20),-144.0,0.0,2,2,-44.064154684891946,0,0,"['Zr', 'Cu']"
3,3,3,3,Zr2Ni,2.058957198564648e-24,Zr2Ni (Equilibrium Pressure at 25C: 2.058957198564648e-24),-183.0,0.0,2,2,-54.53984259151432,0,0,"['Zr', 'Ni']"
4,4,4,4,Mg2Ni,1.2401578620850435e-05,Mg2Ni (Equilibrium Pressure at 25C: 1.2401578620850435e-05),-64.5,0.0,2,2,-11.297686785323176,0,0,"['Mg', 'Ni']"
5,5,5,5,Mg2Co0.25Ni0.75,6.333239945579323e-06,Mg2Co0.25Ni0.75 (Equilibrium Pressure at 25C: 6.333239945579323e-06),-64.5,0.0,2,2,-11.969698613009502,0,0,"['Mg', 'Co', 'Ni']"
6,6,6,6,Mg2Fe0.25Ni0.75,6.280056744354837e-06,Mg2Fe0.25Ni0.75 (Equilibrium Pressure at 25C: 6.280056744354837e-06),-65.2,0.0,2,2,-11.978131541799696,0,0,"['Mg', 'Fe', 'Ni']"
7,7,7,7,Mg2Cr0.25Ni0.75,2.279544208544706e-05,Mg2Cr0.25Ni0.75 (Equilibrium Pressure at 25C: 2.279544208544706e-05),-61.0,0.0,2,2,-10.688949950521277,0,0,"['Mg', 'Cr', 'Ni']"
8,8,8,8,Mg2Cu0.25Ni0.75,4.3001956393652456e-05,Mg2Cu0.25Ni0.75 (Equilibrium Pressure at 25C: 4.3001956393652456e-05),-59.0,0.0,2,2,-10.054264945778892,0,0,"['Mg', 'Cu', 'Ni']"
9,9,9,9,Mg2Ti0.25Ni0.75,4.658545275979016e-05,Mg2Ti0.25Ni0.75 (Equilibrium Pressure at 25C: 4.658545275979016e-05),-59.0,0.0,2,2,-9.974222238105355,0,0,"['Mg', 'Ti', 'Ni']"
10,10,10,10,ThCo,0.0202404562945991,ThCo (Equilibrium Pressure at 25C: 0.0202404562945991),-46.8,0.0,2,2,-3.9000718906174288,0,0,"['Th', 'Co']"
11,11,11,11,ThNi,0.0041671432123623,ThNi (Equilibrium Pressure at 25C: 0.0041671432123623),-45.3,0.0,2,2,-5.480524558914899,0,0,"['Th', 'Ni']"
12,12,12,12,Ti0.46Mn0.05V0.05Fe0.45,2.24884865942675,Ti0.46Mn0.05V0.05Fe0.45 (Equilibrium Pressure at 25C: 2.24884865942675),-28.6,1.0,1,1,0.810418378328218,1,1,"['Ti', 'Mn', 'V', 'Fe']"
13,13,13,13,Zr0.04Ti0.96Nb0.04Fe0.95,1.1330198344371585,Zr0.04Ti0.96Nb0.04Fe0.95 (Equilibrium Pressure at 25C: 1.1330198344371585),-31.8,1.0,1,1,0.1248864880154619,1,1,"['Zr', 'Ti', 'Nb', 'Fe']"
14,14,14,14,Ti0.9Fe0.9B0.2,13.716892394336089,Ti0.9Fe0.9B0.2 (Equilibrium Pressure at 25C: 13.716892394336089),-7.6,1.0,0,0,2.618628094771769,1,1,"['Ti', 'Fe', 'B']"
15,15,15,15,La0.1Ti0.9Co1,0.0025112451596866,La0.1Ti0.9Co1 (Equilibrium Pressure at 25C: 0.0025112451596866),-60.0,0.0,2,2,-5.986976569288815,0,0,"['La', 'Ti', 'Co']"
16,16,16,16,Zr0.1Ti0.9Fe1,2.722722436607205,Zr0.1Ti0.9Fe1 (Equilibrium Pressure at 25C: 2.722722436607205),-28.9,1.0,1,1,1.001632275557145,1,1,"['Zr', 'Ti', 'Fe']"
17,17,17,17,TiCo,0.00224399239246,TiCo (Equilibrium Pressure at 25C: 0.00224399239246),-57.8,0.0,2,2,-6.099498681496774,0,0,"['Ti', 'Co']"
18,18,18,18,Ti1Fe0.5Co0.5,0.1295775132300278,Ti1Fe0.5Co0.5 (Equilibrium Pressure at 25C: 0.1295775132300278),-42.3,0.0,2,2,-2.0434760191459587,0,0,"['Ti', 'Fe', 'Co']"
19,19,19,19,Ti1Mn0.5Co0.5,0.0330866273106653,Ti1Mn0.5Co0.5 (Equilibrium Pressure at 25C: 0.0330866273106653),-46.9,0.0,2,2,-3.408626086973869,0,0,"['Ti', 'Mn', 'Co']"
20,20,20,20,TiCu,4.110047647986045e-15,TiCu (Equilibrium Pressure at 25C: 4.110047647986045e-15),-126.0,0.0,2,2,-33.12534177328579,0,0,"['Ti', 'Cu']"
21,21,21,21,TiFe,4.313248552071831,TiFe (Equilibrium Pressure at 25C: 4.313248552071831),-28.1,1.0,1,1,1.4616913445867017,1,1,"['Ti', 'Fe']"
22,22,22,22,Ti1Fe0.6Ni0.4,0.0076797015643149,Ti1Fe0.6Ni0.4 (Equilibrium Pressure at 25C: 0.0076797015643149),-48.6,0.0,2,2,-4.869174591390744,0,0,"['Ti', 'Fe', 'Ni']"
23,23,23,23,Ti1Mn0.2Fe0.7,0.7160157767194152,Ti1Mn0.2Fe0.7 (Equilibrium Pressure at 25C: 0.7160157767194152),-34.7,1.0,1,1,-0.3340530777399251,1,1,"['Ti', 'Mn', 'Fe']"
24,24,24,24,Ti1Be0.2Fe0.8,0.8274895474763463,Ti1Be0.2Fe0.8 (Equilibrium Pressure at 25C: 0.8274895474763463),-30.5,1.0,1,1,-0.18935880325922064,1,1,"['Ti', 'Be', 'Fe']"
