train_size,y_true,y_pred,accuracy,f1_macro,f1_micro,f1_weighted,kappa
5,"[1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.5714285714285714,0.5333333333333333,0.5714285714285714,0.5333333333333333,0.1428571428571429
5,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.6428571428571429,0.5906432748538011,0.6428571428571429,0.5906432748538012,0.2857142857142857
5,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.5,0.47593582887700536,0.5,0.4759358288770054,0.0
5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1]",0.5,0.49743589743589745,0.5,0.49743589743589745,0.0
5,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1]",0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.1428571428571428
5,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",0.35714285714285715,0.35384615384615387,0.35714285714285715,0.35384615384615387,-0.2857142857142858
5,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6428571428571429,0.5906432748538011,0.6428571428571429,0.5906432748538012,0.2857142857142857
5,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0.6428571428571429,0.5906432748538011,0.6428571428571429,0.5906432748538012,0.2857142857142857
5,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.1428571428571428
5,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0.6428571428571429,0.5906432748538011,0.6428571428571429,0.5906432748538012,0.2857142857142857
