,SMILES,E_adh,E_adh_2classes,prompt
0,B B B B A A B B B A B A B B B A B B B B,7.759848133333335,0,a co-polymer with sequence B B B B A A B B B A B A B B B A B B B B
1,B B B A A A B B A A B A B A B B B A B B,8.1330417,0,a co-polymer with sequence B B B A A A B B A A B A B A B B B A B B
2,A A B B A B B A B A B B B B A B B B B B,7.717979266666664,0,a co-polymer with sequence A A B B A B B A B A B B B B A B B B B B
3,B B B A B A A A A B A B A B A B B B B B,8.147354933333334,0,a co-polymer with sequence B B B A B A A A A B A B A B A B B B B B
4,B B B B B B A B B A B B B B B B B B B A,7.603120166666665,0,a co-polymer with sequence B B B B B B A B B A B B B B B B B B B A
5,B A B B B A B A B B B B B B B A B A A B,8.029211566666667,0,a co-polymer with sequence B A B B B A B A B B B B B B B A B A A B
6,A A A B B A B A B A B A B B B B A B B B,7.907214,0,a co-polymer with sequence A A A B B A B A B A B A B B B B A B B B
7,B A B B B A A A B A B A B B A B A A B A,8.001414633333333,0,a co-polymer with sequence B A B B B A A A B A B A B B A B A A B A
8,B A B B B A A B B B B B B A B B A A A B,8.252694500000002,1,a co-polymer with sequence B A B B B A A B B B B B B A B B A A A B
9,B A A B A A B A A A A A A A A A A A A A,8.504239333333333,1,a co-polymer with sequence B A A B A A B A A A A A A A A A A A A A
10,A A A A A A B B A B A A A A A A A B B A,8.601445066666667,1,a co-polymer with sequence A A A A A A B B A B A A A A A A A B B A
11,B A B B B B A B B A A B A A A B A B B B,8.178014933333332,0,a co-polymer with sequence B A B B B B A B B A A B A A A B A B B B
12,B B B A B A A B A A B B B A A A B B B A,8.312964266666665,1,a co-polymer with sequence B B B A B A A B A A B B B A A A B B B A
13,A B B A B A B B B B A B B A B A B B B A,7.8350799333333345,0,a co-polymer with sequence A B B A B A B B B B A B B A B A B B B A
14,A B A A B A A A A B A A A A A A A A A A,8.601430533333335,1,a co-polymer with sequence A B A A B A A A A B A A A A A A A A A A
15,A B B A B B B B A B A B B A B A A B B A,7.993121533333337,0,a co-polymer with sequence A B B A B B B B A B A B B A B A A B B A
16,B B B B B B A A B A B A A A B B B B A A,8.356277400000002,1,a co-polymer with sequence B B B B B B A A B A B A A A B B B B A A
17,B B B B B B A B B B B B B B B A B B A B,7.595227533333336,0,a co-polymer with sequence B B B B B B A B B B B B B B B A B B A B
18,A B B A A A B B B A A B B A A B B B A A,8.218324833333334,1,a co-polymer with sequence A B B A A A B B B A A B B A A B B B A A
19,B B A B B A B A B A A A A B A B B B B A,8.22696926666667,1,a co-polymer with sequence B B A B B A B A B A A A A B A B B B B A
20,B B B A B B A A B A B B A A B A A B B B,8.103117633333333,0,a co-polymer with sequence B B B A B B A A B A B B A A B A A B B B
21,B A A A B A A A B A B A A B B A A A B A,8.1510125,0,a co-polymer with sequence B A A A B A A A B A B A A B B A A A B A
22,A B A B A B A A A A B A B A B A A B A A,8.013945666666668,0,a co-polymer with sequence A B A B A B A A A A B A B A B A A B A A
23,B B A B B B A A B B B A A B B A B B A B,7.940306033333336,0,a co-polymer with sequence B B A B B B A A B B B A A B B A B B A B
24,A B A B B A A B A A A B B A A A A B B B,8.454982066666668,1,a co-polymer with sequence A B A B B A A B A A A B B A A A A B B B
25,A A A A B A A A A B B A A A A A A A A A,8.559106033333332,1,a co-polymer with sequence A A A A B A A A A B B A A A A A A A A A
26,B B A B B B B B A A B A B A B A B A B B,7.9861915,0,a co-polymer with sequence B B A B B B B B A A B A B A B A B A B B
27,B B B B B A B A B B B A B B B B B B B B,7.651103266666668,0,a co-polymer with sequence B B B B B A B A B B B A B B B B B B B B
28,B B B B B A B B B B B B B B B A A B B B,7.855181733333332,0,a co-polymer with sequence B B B B B A B B B B B B B B B A A B B B
29,A B A B A A A A A A A A B B A A A A A A,8.529801599999999,1,a co-polymer with sequence A B A B A A A A A A A A B B A A A A A A
30,A B A B B B B B B B B A B B A B B B B A,7.801464299999999,0,a co-polymer with sequence A B A B B B B B B B B A B B A B B B B A
31,B A A B A B A A B B A B A A A B A B A A,8.200009999999999,0,a co-polymer with sequence B A A B A B A A B B A B A A A B A B A A
32,A A A A B B A B A B B A B B A B A A A A,8.415518533333334,1,a co-polymer with sequence A A A A B B A B A B B A B B A B A A A A
33,B A A A B A A B A A B A B B A A A B A B,7.953052366666665,0,a co-polymer with sequence B A A A B A A B A A B A B B A A A B A B
34,B B A B B B A B B B B B A A A B A B A B,7.928296099999999,0,a co-polymer with sequence B B A B B B A B B B B B A A A B A B A B
35,B A A A B A B B A B B A A A B A A A A A,8.237164366666665,1,a co-polymer with sequence B A A A B A B B A B B A A A B A A A A A
36,B B B A B B B B A A B B B B B A A B B B,7.994252066666668,0,a co-polymer with sequence B B B A B B B B A A B B B B B A A B B B
37,A A A A B B A B A A B B B A B B B A B A,8.230236733333333,1,a co-polymer with sequence A A A A B B A B A A B B B A B B B A B A
38,A A A B B B B A B A B A B A B B B B B A,8.058433700000002,0,a co-polymer with sequence A A A B B B B A B A B A B A B B B B B A
39,A A B A B A B A A B B B B B A A A A A B,8.445333000000002,1,a co-polymer with sequence A A B A B A B A A B B B B B A A A A A B
