sequence,E_adh
B B B B A A B B B A B A B B B A B B B B,7.759848133333335
B B B A A A B B A A B A B A B B B A B B,8.1330417
A A B B A B B A B A B B B B A B B B B B,7.717979266666664
B B B A B A A A A B A B A B A B B B B B,8.147354933333334
B B B B B B A B B A B B B B B B B B B A,7.603120166666665
B A B B B A B A B B B B B B B A B A A B,8.029211566666667
A A A B B A B A B A B A B B B B A B B B,7.907214
B A B B B A A A B A B A B B A B A A B A,8.001414633333333
B A B B B A A B B B B B B A B B A A A B,8.252694500000002
B A A B A A B A A A A A A A A A A A A A,8.504239333333333
A A A A A A B B A B A A A A A A A B B A,8.601445066666667
B A B B B B A B B A A B A A A B A B B B,8.178014933333332
B B B A B A A B A A B B B A A A B B B A,8.312964266666665
A B B A B A B B B B A B B A B A B B B A,7.8350799333333345
A B A A B A A A A B A A A A A A A A A A,8.601430533333335
A B B A B B B B A B A B B A B A A B B A,7.993121533333337
B B B B B B A A B A B A A A B B B B A A,8.356277400000002
B B B B B B A B B B B B B B B A B B A B,7.595227533333336
A B B A A A B B B A A B B A A B B B A A,8.218324833333334
B B A B B A B A B A A A A B A B B B B A,8.22696926666667
B B B A B B A A B A B B A A B A A B B B,8.103117633333333
B A A A B A A A B A B A A B B A A A B A,8.1510125
A B A B A B A A A A B A B A B A A B A A,8.013945666666668
B B A B B B A A B B B A A B B A B B A B,7.940306033333336
A B A B B A A B A A A B B A A A A B B B,8.454982066666668
A A A A B A A A A B B A A A A A A A A A,8.559106033333332
B B A B B B B B A A B A B A B A B A B B,7.9861915
B B B B B A B A B B B A B B B B B B B B,7.651103266666668
B B B B B A B B B B B B B B B A A B B B,7.855181733333332
A B A B A A A A A A A A B B A A A A A A,8.529801599999999
A B A B B B B B B B B A B B A B B B B A,7.801464299999999
B A A B A B A A B B A B A A A B A B A A,8.200009999999999
A A A A B B A B A B B A B B A B A A A A,8.415518533333334
B A A A B A A B A A B A B B A A A B A B,7.953052366666665
B B A B B B A B B B B B A A A B A B A B,7.928296099999999
B A A A B A B B A B B A A A B A A A A A,8.237164366666665
B B B A B B B B A A B B B B B A A B B B,7.994252066666668
A A A A B B A B A A B B B A B B B A B A,8.230236733333333
A A A B B B B A B A B A B A B B B B B A,8.058433700000002
A A B A B A B A A B B B B B A A A A A B,8.445333000000002
B B B B B B A B A B B B A B B B A B A B,7.485130466666668
B B B B A B A B A A B A A A A B A B B B,8.20258056666667
B B A A A B A B A A A A B A B A A B A A,8.178504900000004
A A B B B A B A B A B A B B B A A B B A,7.966925299999998
B B B A B B B B A B A A B B B B B B B B,7.965311533333331
A B A B A A A A A A B A B B B A B A B B,8.379248266666668
B A A A B A A A A A B B A B A B A B B A,8.222886566666668
B B A B A B A A A A B A A A A A B A B A,8.389129299999999
A A B A A B A A A A A A B A A A B B B A,8.504493733333332
B A A B B B B B B B B A A B B B B B B B,7.929318066666667
A B A A A A A A B A B B B A B B A B A B,8.376884266666664
B B B A B B B A A A B B B B B B B B B B,8.065928033333334
B B B B B B B B B A B B B A A A B A B B,8.266650166666672
B B A B B B B B B A B A A B B B B B B B,8.028903766666664
A B B A A B A B B B B B B B A B B B B B,7.930454233333334
A B A A A B A B A B B B A A A A A B A A,8.310019933333335
A B B B B B B B B B B A B B B B B A B A,7.906572900000002
A B A A B B A B A A A B B A B A A B B A,7.829568066666669
A A B B A B A B B A A B A A B A B A A B,7.941466699999999
B A B B A A B A B A A B B A A B A B A A,7.878289933333335
A B B B A A A B A B A A B A A A A A B B,8.276492966666668
B A A A A A B A A A B A B A A B A B A B,8.037030399999999
B A A A B B B A B A B B B B B A B B B B,8.206719733333333
A A A B B B B B A A B A A A A A A A B B,8.89612903333333
B A B B B B B B A A A B B B B A A A B B,8.466018433333332
